antigen95|Q7A7B2|CP000253.1|mhcii|seq4639	antigen95|Q7A7B2|CP000253.1|mhcii|seq4639
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq219
antigen95|Q7A7B2|CP000253.1|mhcii|seq5599	antigen95|Q7A7B2|CP000253.1|mhcii|seq5599
antigen95|Q7A7B2|CP000253.1|mhcii|seq6335	antigen95|Q7A7B2|CP000253.1|mhcii|seq6335
antigen95|Q7A7B2|CP000253.1|mhcii|seq16607	antigen95|Q7A7B2|CP000253.1|mhcii|seq16607
antigen95|Q7A7B2|CP000253.1|mhcii|seq32	antigen95|Q7A7B2|CP000253.1|mhcii|seq32
antigen95|Q7A7B2|CP000253.1|mhcii|seq32	antigen95|Q7A7B2|CP000253.1|mhcii|seq1639
antigen95|Q7A7B2|CP000253.1|mhcii|seq32	antigen95|Q7A7B2|CP000253.1|mhcii|seq31
antigen95|Q7A7B2|CP000253.1|mhcii|seq32	antigen95|Q7A7B2|CP000253.1|mhcii|seq1638
antigen95|Q7A7B2|CP000253.1|mhcii|seq256	antigen95|Q7A7B2|CP000253.1|mhcii|seq256
antigen95|Q7A7B2|CP000253.1|mhcii|seq512	antigen95|Q7A7B2|CP000253.1|mhcii|seq512
antigen95|Q7A7B2|CP000253.1|mhcii|seq512	antigen95|Q7A7B2|CP000253.1|mhcii|seq12113
antigen95|Q7A7B2|CP000253.1|mhcii|seq512	antigen95|Q7A7B2|CP000253.1|mhcii|seq12114
antigen95|Q7A7B2|CP000253.1|mhcii|seq512	antigen95|Q7A7B2|CP000253.1|mhcii|seq513
antigen95|Q7A7B2|CP000253.1|mhcii|seq736	antigen95|Q7A7B2|CP000253.1|mhcii|seq736
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq1536
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq7109
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq13678
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq1537
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq1538
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq1539
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq7107
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq13676
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq7108
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq13677
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq12196
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq13092
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq15588
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq13093
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq7110
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq13679
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq13094
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq7111
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq10901
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq10902
antigen95|Q7A7B2|CP000253.1|mhcii|seq1536	antigen95|Q7A7B2|CP000253.1|mhcii|seq10899
antigen95|Q7A7B2|CP000253.1|mhcii|seq1888	antigen95|Q7A7B2|CP000253.1|mhcii|seq1888
antigen95|Q7A7B2|CP000253.1|mhcii|seq2144	antigen95|Q7A7B2|CP000253.1|mhcii|seq2144
antigen95|Q7A7B2|CP000253.1|mhcii|seq14400	antigen95|Q7A7B2|CP000253.1|mhcii|seq14400
antigen95|Q7A7B2|CP000253.1|mhcii|seq14880	antigen95|Q7A7B2|CP000253.1|mhcii|seq14880
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq16353
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq17249
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq17250
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq2757
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq10821
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq10822
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq11433
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq8330
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq11434
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq8331
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq11435
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq15339
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq8332
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq11436
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq15340
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq8333
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq11437
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq15341
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq8334
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq15342
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq8335
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq15343
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq15344
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq16048
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq16049
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq4050
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq16050
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq4051
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq12723
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq16051
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq4052
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq12724
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq16052
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq4053
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq12725
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq16053
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq12347
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq12348
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq16348
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq12349
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq16349
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq17245
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq12350
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq16350
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq17246
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq12351
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq16351
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq17247
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq12352
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq16352
antigen95|Q7A7B2|CP000253.1|mhcii|seq16353	antigen95|Q7A7B2|CP000253.1|mhcii|seq17248
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq16481
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq16482
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq16483
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq17138
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq11443
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq17139
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq4148
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq11444
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq16820
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq15320
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq17140
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq4149
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq11445
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq16821
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq15321
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq17141
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq4150
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq5142
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq11446
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq16822
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq15322
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq17142
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq11447
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq16823
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq15323
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq11448
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq16824
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq16478
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq16479
antigen95|Q7A7B2|CP000253.1|mhcii|seq16481	antigen95|Q7A7B2|CP000253.1|mhcii|seq16480
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq17025
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq14113
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq16545
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq14114
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq16546
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq16547
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq9668
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq5129
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq5130
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq5131
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq5132
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq5133
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq9905
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq7794
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq9906
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq7795
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq9907
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq7796
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq9908
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq12660
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq7797
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq12661
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq7798
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq12662
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq7799
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq12663
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq12664
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq3097
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq12665
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq3098
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq3099
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq3100
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq17020
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq3101
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq14109
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq16157
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq17021
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq3102
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq10686
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq14110
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq16158
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq17022
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq10687
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq14111
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq16543
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq17023
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq10688
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq14112
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq16544
antigen95|Q7A7B2|CP000253.1|mhcii|seq17025	antigen95|Q7A7B2|CP000253.1|mhcii|seq17024
antigen95|Q7A7B2|CP000253.1|mhcii|seq226	antigen95|Q7A7B2|CP000253.1|mhcii|seq226
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq450
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq225
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq449
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq868
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq869
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq870
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq871
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq872
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq9032
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq9033
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq9998
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq655
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq656
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq657
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq658
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq659
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq660
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq10518
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq10519
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq10520
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq15384
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq5593
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq10041
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq10521
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq10969
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq15385
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq5594
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq10042
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq10522
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq10970
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq15386
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq5595
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq10043
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq10523
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq10971
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq15387
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq5596
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq10972
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq15388
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq445
antigen95|Q7A7B2|CP000253.1|mhcii|seq450	antigen95|Q7A7B2|CP000253.1|mhcii|seq5597
