antigen174|Q2FHM8|BA000018.3|mhcii|seq1	antigen174|Q2FHM8|BA000018.3|mhcii|seq1
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq240
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq400
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq688
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq241
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq401
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq689
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq242
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq402
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq690
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq243
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq403
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq404
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq444
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq189
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq445
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq190
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq446
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq670
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq191
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq447
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq671
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq192
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq448
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq672
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq705
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq385
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq386
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq387
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq388
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq261
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq293
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq389
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq262
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq294
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq358
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq263
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq295
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq359
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq583
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq264
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq296
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq360
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq584
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq265
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq361
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq585
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq74
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq266
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq362
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq75
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq363
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq76
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq77
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq78
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq79
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq719
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq720
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq820
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq821
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq822
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq823
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq344
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq824
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq345
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq825
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq346
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq347
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq348
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq700
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq701
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq765
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq702
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq703
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq384
antigen174|Q2FHM8|BA000018.3|mhcii|seq705	antigen174|Q2FHM8|BA000018.3|mhcii|seq704
antigen174|Q2FHM8|BA000018.3|mhcii|seq450	antigen174|Q2FHM8|BA000018.3|mhcii|seq450
antigen174|Q2FHM8|BA000018.3|mhcii|seq706	antigen174|Q2FHM8|BA000018.3|mhcii|seq706
antigen174|Q2FHM8|BA000018.3|mhcii|seq706	antigen174|Q2FHM8|BA000018.3|mhcii|seq752
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq802
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq801
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq803
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq804
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq234
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq235
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq236
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq237
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq187
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq669
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq188
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq799
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq800
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq201
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq683
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq198
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq680
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq199
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq681
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq200
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq682
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq186
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq668
antigen174|Q2FHM8|BA000018.3|mhcii|seq802	antigen174|Q2FHM8|BA000018.3|mhcii|seq443
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq99
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq21
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq97
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq19
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq98
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq20
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq100
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq22
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq298
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq299
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq301
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq302
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq303
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq211
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq116
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq212
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq117
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq213
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq118
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq214
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq248
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq249
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq250
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq251
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq96
antigen174|Q2FHM8|BA000018.3|mhcii|seq99	antigen174|Q2FHM8|BA000018.3|mhcii|seq18
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq291
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq289
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq290
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq354
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq697
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq355
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq698
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq292
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq356
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq699
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq357
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq463
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq464
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq816
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq817
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq818
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq339
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq340
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq341
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq342
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq343
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq761
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq579
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq715
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq762
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq580
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq716
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq763
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq581
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq717
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq764
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq582
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq718
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq287
antigen174|Q2FHM8|BA000018.3|mhcii|seq291	antigen174|Q2FHM8|BA000018.3|mhcii|seq288
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq323
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq321
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq322
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq7
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq630
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq631
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq632
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq728
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq25
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq633
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq26
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq27
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq28
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq320
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq645
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq52
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq644
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq51
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq646
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq53
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq647
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq54
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq648
antigen174|Q2FHM8|BA000018.3|mhcii|seq323	antigen174|Q2FHM8|BA000018.3|mhcii|seq55
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq419
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq417
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq418
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq549
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq550
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq551
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq552
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq489
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq553
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq490
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq554
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq491
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq492
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq429
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq493
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq430
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq494
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq431
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq432
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq433
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq434
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq534
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq535
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq504
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq536
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq505
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq537
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq506
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq538
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq475
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq507
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq539
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq476
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq508
antigen174|Q2FHM8|BA000018.3|mhcii|seq419	antigen174|Q2FHM8|BA000018.3|mhcii|seq477
