antigen42|A5IPD1|CP002114.3|mhcii|seq262	antigen42|A5IPD1|CP002114.3|mhcii|seq262
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1107
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1779
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq276
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1108
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1780
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1013
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1781
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq566
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1014
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1782
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq567
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1015
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1783
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq568
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1016
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1017
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1018
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1498
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1692
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1693
antigen42|A5IPD1|CP002114.3|mhcii|seq359	antigen42|A5IPD1|CP002114.3|mhcii|seq359
antigen42|A5IPD1|CP002114.3|mhcii|seq615	antigen42|A5IPD1|CP002114.3|mhcii|seq615
antigen42|A5IPD1|CP002114.3|mhcii|seq775	antigen42|A5IPD1|CP002114.3|mhcii|seq775
antigen42|A5IPD1|CP002114.3|mhcii|seq750	antigen42|A5IPD1|CP002114.3|mhcii|seq750
antigen42|A5IPD1|CP002114.3|mhcii|seq750	antigen42|A5IPD1|CP002114.3|mhcii|seq1391
antigen42|A5IPD1|CP002114.3|mhcii|seq750	antigen42|A5IPD1|CP002114.3|mhcii|seq322
antigen42|A5IPD1|CP002114.3|mhcii|seq750	antigen42|A5IPD1|CP002114.3|mhcii|seq749
antigen42|A5IPD1|CP002114.3|mhcii|seq750	antigen42|A5IPD1|CP002114.3|mhcii|seq751
antigen42|A5IPD1|CP002114.3|mhcii|seq750	antigen42|A5IPD1|CP002114.3|mhcii|seq1392
antigen42|A5IPD1|CP002114.3|mhcii|seq750	antigen42|A5IPD1|CP002114.3|mhcii|seq752
antigen42|A5IPD1|CP002114.3|mhcii|seq750	antigen42|A5IPD1|CP002114.3|mhcii|seq1393
antigen42|A5IPD1|CP002114.3|mhcii|seq974	antigen42|A5IPD1|CP002114.3|mhcii|seq974
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq1038
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq1035
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq1036
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq1037
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq495
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq1039
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq496
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq1040
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq497
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq945
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq1041
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq498
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq946
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq499
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq947
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq948
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq949
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq950
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq122
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq123
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq1051
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq124
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq636
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq1052
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq125
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq1053
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq1054
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq1055
antigen42|A5IPD1|CP002114.3|mhcii|seq1038	antigen42|A5IPD1|CP002114.3|mhcii|seq1056
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1294
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1449
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1291
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1446
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1292
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1447
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1293
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1448
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1295
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1450
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1296
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1451
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1297
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1298
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1248
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq51
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1249
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq52
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1250
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq53
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1251
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq54
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1245
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1246
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq49
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq1247
antigen42|A5IPD1|CP002114.3|mhcii|seq1294	antigen42|A5IPD1|CP002114.3|mhcii|seq50
antigen42|A5IPD1|CP002114.3|mhcii|seq1710	antigen42|A5IPD1|CP002114.3|mhcii|seq1710
antigen42|A5IPD1|CP002114.3|mhcii|seq527	antigen42|A5IPD1|CP002114.3|mhcii|seq527
antigen42|A5IPD1|CP002114.3|mhcii|seq719	antigen42|A5IPD1|CP002114.3|mhcii|seq719
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq847
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq609
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1315
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1604
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1611
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1461
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1366
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq844
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1612
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1462
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1367
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq845
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1613
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1463
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1368
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq846
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1614
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1464
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1369
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1615
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1465
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1370
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq848
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1883
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1884
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1885
antigen42|A5IPD1|CP002114.3|mhcii|seq847	antigen42|A5IPD1|CP002114.3|mhcii|seq1886
antigen42|A5IPD1|CP002114.3|mhcii|seq975	antigen42|A5IPD1|CP002114.3|mhcii|seq975
antigen42|A5IPD1|CP002114.3|mhcii|seq1199	antigen42|A5IPD1|CP002114.3|mhcii|seq1199
antigen42|A5IPD1|CP002114.3|mhcii|seq1679	antigen42|A5IPD1|CP002114.3|mhcii|seq1679
antigen42|A5IPD1|CP002114.3|mhcii|seq1711	antigen42|A5IPD1|CP002114.3|mhcii|seq1711
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq33
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq481
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq482
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq483
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq484
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq485
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq1667
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq1668
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq1669
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq1079
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq1080
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq1081
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq34
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq1082
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq35
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq1083
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq36
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq1754
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq31
antigen42|A5IPD1|CP002114.3|mhcii|seq33	antigen42|A5IPD1|CP002114.3|mhcii|seq32
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq321
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq866
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq867
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq100
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq868
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq101
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq1733
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq102
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq1734
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq103
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq1735
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq104
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq1736
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq105
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq1737
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq1738
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq784
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq785
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq338
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq786
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq339
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq787
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq340
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq788
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq1524
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq117
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq341
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq789
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq1525
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq118
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq342
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq1526
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq119
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq343
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq1527
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq120
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq1528
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq923
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq316
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq924
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq317
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq925
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq318
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq926
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq319
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq927
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq320
antigen42|A5IPD1|CP002114.3|mhcii|seq321	antigen42|A5IPD1|CP002114.3|mhcii|seq928
antigen42|A5IPD1|CP002114.3|mhcii|seq449	antigen42|A5IPD1|CP002114.3|mhcii|seq449
antigen42|A5IPD1|CP002114.3|mhcii|seq449	antigen42|A5IPD1|CP002114.3|mhcii|seq17
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq673
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1153
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1283
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1284
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1285
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1286
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1287
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1288
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1133
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1134
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1135
antigen42|A5IPD1|CP002114.3|mhcii|seq673	antigen42|A5IPD1|CP002114.3|mhcii|seq1136
