antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1741	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1741
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1543
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq126
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1279
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1544
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq127
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1280
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1674
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1555
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1675
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1556
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1676
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1557
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1677
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1558
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq334
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1678
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1559
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq335
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq336
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq338
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1554
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq339
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq470
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq471
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq128
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq34
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq35
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq36
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1378
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1380
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1567
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1696
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1381
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1697
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1568
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq971
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq969
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq970
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq972
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq973
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq974
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq316
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq317
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq318
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq319
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq31
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq33	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq32
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq385
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq386
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq387
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq388
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq389
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq390
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq265
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq266
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq267
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq268
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq524
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq269
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq525
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq270
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq526
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq527
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1297
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1681
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1298
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1682
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1299
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1683
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1684
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1685
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1147
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq476
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1148
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq477
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1149
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq478
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1150
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq479
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1151
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq481	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq480
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq545	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq545
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq545	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq547
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq610
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq611
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1731
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq548
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq612
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1732
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq549
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq613
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1733
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq550
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq551
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq552
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq553
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq554
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1645
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1646
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq367
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1647
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq368
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1648
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1649
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq956
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1480
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq957
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1481
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq606
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq958
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1482
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq607
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq959
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1483
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq609	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq608
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1485
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq614
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq555
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq960
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1484
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq323
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq321
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq322
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq324
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq37
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq38
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1382
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1569
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1698
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1574
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq39
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1383
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1570
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1699
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1703
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1384
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1571
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1700
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1385
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1572
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1701
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1386
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1573
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1702
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq975
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq976
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq961	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq320
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq225
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq641
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq801
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq226
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq642
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq802
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1666
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq227
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq643
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1057	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1667
