Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_169|Q7A0H5|Bacterial|WP_000949467.1|tpos:1-166,0.218,0.0,0.5,0.718,Allergen
antigen_147|A6QHI5|UPF0735|WP_000368899.1|tpos:1-151,0.107,0.0,0.0,0.107,Non-Allergen
antigen_148|P72358|Antiholin-like|WP_001792906.1|tpos:1-147,0.172,0.0,0.0,0.172,Non-Allergen
antigen_101|A6QHC1|Ribosomal|WP_001104611.1|tpos:1-312,0.111,0.0,-0.5,-0.389,Non-Allergen
antigen_138|Q5HE63|Deoxyribose-phosphate|WP_001083341.1|tpos:1-220,0.634,0.5,-0.5,0.634,Allergen
antigen_139|P65968|Ribosome-binding|WP_000097322.1|tpos:1-116,0.109,0.0,-0.5,-0.391,Non-Allergen
antigen_141|P64331|Glutamyl-tRNA|WP_000545453.1|tpos:1-448,0.043,0.0,-0.5,-0.457,Non-Allergen
antigen_143|Q6GEV5|Large|WP_000808968.1|tpos:1-84,0.172,0.0,0.0,0.172,Non-Allergen
antigen_65|Q2G2D3|Ribosome|WP_000036633.1|tpos:1-155,0.115,0.0,-0.5,-0.385,Non-Allergen
antigen_67|A5IUL1|Serine-protein|WP_001190825.1|tpos:1-159,0.218,0.0,-0.5,-0.282,Non-Allergen
antigen_68|Q2FJK1|Uncharacterized|WP_001205664.1|tpos:1-261,0.175,0.0,0.0,0.175,Non-Allergen
antigen_69|A5IQW9|Nucleotide-binding|WP_000369722.1|tpos:1-303,0.07,0.0,-0.5,-0.43,Non-Allergen
antigen_90|A5IRH5|Adapter|WP_001217724.1|tpos:1-239,0.171,0.0,-0.5,-0.329,Non-Allergen
antigen_95|Q7A7B2|Transcription-repair-coupling|WP_000154230.1|tpos:1-1168,0.037,0.5,-0.5,0.037,Non-Allergen
antigen_112|Q99V03|Spermidine/putrescine|WP_000433551.1|tpos:1-364,0.092,0.0,-0.5,-0.408,Non-Allergen
antigen_114|A8Z4A3|Putative|WP_000411298.1|tpos:1-272,0.084,0.0,-0.5,-0.416,Non-Allergen
antigen_116|P0A0I7|Accessory|WP_000688492.1|tpos:1-238,0.059,0.0,0.0,0.059,Non-Allergen
antigen_119|Q99UI1|tRNA-2-methylthio-N(6)-dimethylallyladenosine|WP_001001521.1|tpos:1-514,0.16,0.0,-0.5,-0.34,Non-Allergen
antigen_195|A7X2E3|Holliday|WP_001108885.1|tpos:1-208,0.288,0.0,-0.5,-0.212,Non-Allergen
antigen_198|Q9ZEH3|UvrABC|WP_000390518.1|tpos:1-593,0.091,0.0,-0.5,-0.409,Non-Allergen
antigen_117|Q2G2P8|ADP-dependent|WP_000449219.1|tpos:1-270,0.104,0.5,-0.5,0.104,Non-Allergen
antigen_118|Q5HIA9|GTP|WP_000134232.1|tpos:1-292,0.295,0.0,-0.5,-0.205,Non-Allergen
antigen_98|A5IVY0|1-pyrroline-5-carboxylate|WP_000259692.1|tpos:1-514,0.69,0.0,0.5,1.19,Allergen
antigen_46|Q2YWH4|Carbamate|WP_000660028.1|tpos:1-313,0.139,0.0,-0.5,-0.361,Non-Allergen
antigen_107|Q6GEI4|Large|WP_000024827.1|tpos:1-207,0.154,0.0,-0.5,-0.346,Non-Allergen
antigen_109|Q6GHU5|Ribonuclease|WP_001284285.1|tpos:1-312,0.072,0.0,-0.5,-0.428,Non-Allergen
antigen_110|A6U0Z9|Ribosomal|WP_000468384.1|tpos:1-311,0.065,0.0,-0.5,-0.435,Non-Allergen
antigen_9|A6U200|Elongation|WP_000626504.1|tpos:1-185,0.346,0.0,-0.5,-0.154,Non-Allergen
antigen_10|Q2G023|SsrA-binding|WP_001085185.1|tpos:1-154,0.076,0.0,-0.5,-0.424,Non-Allergen
antigen_11|A6U1T3|3-phosphoshikimate|WP_000245908.1|tpos:1-432,0.075,0.0,-0.5,-0.425,Non-Allergen
antigen_39|A5IRV0|Bifunctional|WP_000225834.1|tpos:1-286,0.364,0.0,-0.5,-0.136,Non-Allergen
antigen_41|Q5HEC4|Potassium-transporting|WP_000546595.1|tpos:1-675,0.084,0.0,-0.5,-0.416,Non-Allergen
antigen_185|Q2YUE9|3-isopropylmalate|WP_000718949.1|tpos:1-190,0.231,0.0,0.0,0.231,Non-Allergen
antigen_187|Q6GFW5|UPF0354|WP_001091387.1|tpos:1-285,0.072,0.0,0.0,0.072,Non-Allergen
antigen_191|Q7A4P4|Uncharacterized|WP_000181322.1|tpos:1-342,0.374,0.0,-0.5,-0.126,Non-Allergen
antigen_180|P99070|Succinate--CoA|WP_000110253.1|tpos:1-302,0.641,0.0,0.0,0.641,Allergen
antigen_182|Q2FFV9|Fluoride-specific|WP_000623485.1|tpos:1-117,0.045,0.5,0.0,0.545,Allergen
antigen_91|Q6GIE0|Na(+)/H(+)|WP_000290674.1|tpos:1-159,0.116,0.0,-0.5,-0.384,Non-Allergen
antigen_93|Q99S28|Large|WP_000926310.1|tpos:1-144,0.219,0.0,-0.5,-0.281,Non-Allergen
antigen_96|Q6G7K5|ATP|WP_000974881.1|tpos:1-502,0.073,0.0,-0.5,-0.427,Non-Allergen
antigen_97|A8Z3M0|Ribosomal|WP_000468384.1|tpos:1-311,0.065,0.0,-0.5,-0.435,Non-Allergen
antigen_15|P0A006|Arsenate|WP_000163242.1|tpos:1-131,0.36,0.0,0.0,0.36,Allergen
antigen_16|P18416|Transposase|WP_094752959.1|tpos:105-366,0.111,0.0,-0.5,-0.389,Non-Allergen
antigen_34|Q6GC27|Methionine|WP_000569292.1|tpos:1-341,0.125,0.0,-0.5,-0.375,Non-Allergen
antigen_161|P99154|Large|WP_001273586.1|tpos:1-122,0.56,0.0,-0.5,0.06,Non-Allergen
"antigen_163|Q6GAG7|1,4-dihydroxy-2-naphthoyl-CoA|WP_000184947.1|tpos:1-273",0.182,0.0,-0.5,-0.318,Non-Allergen
antigen_164|Q6GIM9|Putative|WP_001224793.1|tpos:1-161,0.145,0.0,0.0,0.145,Non-Allergen
antigen_199|Q2G2A2|UPF0223|WP_000455597.1|tpos:1-91,0.291,0.0,0.0,0.291,Non-Allergen
antigen_111|A5ISH9|DNA|WP_000073352.1|tpos:1-872,0.02,0.0,-0.5,-0.48,Non-Allergen
antigen_37|Q2YY04|Signal|WP_000166804.1|tpos:1-451,0.019,0.5,-0.5,0.019,Non-Allergen
antigen_40|P66579|Small|WP_000113851.1|tpos:1-166,0.24,0.0,-0.5,-0.26,Non-Allergen
antigen_42|A5IPD1|Antiholin-like|WP_001792906.1|tpos:3-147,0.177,0.0,0.0,0.177,Non-Allergen
antigen_153|Q6GHG2|Small|WP_001018328.1|tpos:1-89,0.088,0.0,-0.5,-0.412,Non-Allergen
antigen_155|A6U242|Endoribonuclease|WP_000494133.1|tpos:1-155,0.333,0.0,-0.5,-0.167,Non-Allergen
antigen_156|A8YZL5|Pyridoxal|WP_000034728.1|tpos:1-295,0.066,0.5,0.0,0.566,Allergen
antigen_158|P65100|3-isopropylmalate|WP_000221934.1|tpos:1-348,0.084,0.5,0.0,0.584,Allergen
antigen_171|Q6GF16|2-isopropylmalate|WP_000094586.1|tpos:1-509,0.381,0.5,-0.5,0.381,Allergen
antigen_173|Q2FW71|Staphyloferrin|WP_000170398.1|tpos:1-397,0.038,0.5,0.0,0.538,Allergen
antigen_52|Q6G639|Arginine|WP_000129411.1|tpos:1-411,0.035,0.0,-0.5,-0.465,Non-Allergen
antigen_0|A8Z2N1|Probable|WP_000872661.1|tpos:1-407,0.062,0.0,-0.5,-0.438,Non-Allergen
antigen_81|A6U2U8|UPF0342|WP_000290301.1|tpos:1-114,0.235,0.0,-0.5,-0.265,Non-Allergen
antigen_82|A7X4V7|Serine|WP_000120501.1|tpos:1-412,0.541,0.5,-0.5,0.541,Allergen
antigen_83|Q2YUL2|Thiamine-phosphate|WP_000483153.1|tpos:1-213,0.477,0.5,-0.5,0.477,Allergen
antigen_157|Q6GFG0|Uncharacterized|WP_001147860.1|tpos:1-453,0.126,0.0,-0.5,-0.374,Non-Allergen
antigen_102|A7WY61|Small|WP_000897044.1|tpos:1-80,0.162,0.0,-0.5,-0.338,Non-Allergen
antigen_103|Q6GJE9|Pyridoxal|WP_000690441.1|tpos:1-186,0.08,0.5,-0.5,0.08,Non-Allergen
antigen_3|Q6GB78|Ribosome|WP_000617735.1|tpos:1-190,0.082,0.0,0.0,0.082,Non-Allergen
antigen_4|Q2YSI3|Histidinol-phosphate|WP_000663028.1|tpos:1-351,0.214,0.5,-0.5,0.214,Non-Allergen
antigen_20|Q5HHK8|Glycine|WP_000290491.1|tpos:1-126,0.309,0.0,-0.5,-0.191,Non-Allergen
antigen_21|Q6GCF3|Putative|WP_000936721.1|tpos:1-222,0.16,0.5,0.0,0.66,Allergen
antigen_22|Q2FV63|Copper|WP_000076661.1|tpos:1-68,0.367,0.5,0.0,0.867,Allergen
antigen_54|A5IPU8|Small|WP_000897044.1|tpos:1-80,0.162,0.0,-0.5,-0.338,Non-Allergen
antigen_55|P65855|tRNA|WP_000282308.1|tpos:1-305,0.106,0.0,-0.5,-0.394,Non-Allergen
antigen_56|P61059|Large|WP_000024827.1|tpos:1-207,0.154,0.0,-0.5,-0.346,Non-Allergen
antigen_63|P65177|Ribitol-5-phosphate|WP_000638466.1|tpos:1-238,0.073,0.5,-0.5,0.073,Non-Allergen
antigen_64|Q6GID8|Na(+)/H(+)|WP_000402803.1|tpos:1-113,0.141,0.0,-0.5,-0.359,Non-Allergen
antigen_23|Q6GI36|Staphostatin|WP_000284457.1|tpos:1-109,0.086,0.0,0.0,0.086,Non-Allergen
antigen_25|Q99SE4|UPF0340|WP_000654186.1|tpos:1-173,0.535,0.5,0.0,1.035,Allergen
antigen_27|P11162|PTS|WP_000983330.1|tpos:1-570,0.121,0.5,0.0,0.621,Allergen
antigen_60|Q6GEK1|Large|WP_001096577.1|tpos:1-59,0.115,0.0,-0.5,-0.385,Non-Allergen
antigen_61|Q6GIN8|Protein|WP_000506531.1|tpos:1-843,0.104,0.5,-0.5,0.104,Non-Allergen
antigen_44|Q6GD73|Adenylosuccinate|WP_000095334.1|tpos:1-427,0.13,0.5,-0.5,0.13,Non-Allergen
antigen_35|A6U284|UPF0473|WP_000134779.1|tpos:1-102,0.229,0.0,-0.5,-0.271,Non-Allergen
antigen_36|Q6GAB5|Spermidine/putrescine|WP_000433551.1|tpos:1-364,0.092,0.0,-0.5,-0.408,Non-Allergen
antigen_45|Q6GJE0|Serine|WP_001805237.1|tpos:1-215,0.163,0.0,0.0,0.163,Non-Allergen
antigen_47|Q6GBP3|UPF0741|WP_000798969.1|tpos:1-113,0.214,0.0,0.0,0.214,Non-Allergen
antigen_48|Q936F2|Uncharacterized|WP_000977806.1|tpos:1-255,0.164,0.0,0.0,0.164,Non-Allergen
antigen_127|Q2FW22|Large|WP_000623881.1|tpos:1-119,0.172,0.5,0.0,0.672,Allergen
antigen_129|P63980|DNA|WP_000226935.1|tpos:1-1065,0.065,0.0,-0.5,-0.435,Non-Allergen
antigen_88|P64108|3-hydroxyacyl-[acyl-carrier-protein]|WP_000447678.1|tpos:1-146,0.543,0.5,-0.5,0.543,Allergen
antigen_89|Q2YU53|Probable|WP_001140871.1|tpos:1-309,0.384,0.0,-0.5,-0.116,Non-Allergen
antigen_18|Q5HIH8|Putative|WP_000868999.1|tpos:1-100,0.157,0.0,0.0,0.157,Non-Allergen
antigen_19|P68789|Elongation|WP_000090315.1|tpos:1-693,0.162,0.0,-0.5,-0.338,Non-Allergen
antigen_113|Q2FKQ5|Chromosomal|WP_001290433.1|tpos:1-453,0.11,0.0,-0.5,-0.39,Non-Allergen
antigen_115|Q7A7G0|Uncharacterized|WP_001205664.1|tpos:5-261,0.188,0.0,0.0,0.188,Non-Allergen
antigen_100|Q5HGP6|Cell|WP_000391032.1|tpos:1-468,0.33,0.0,-0.5,-0.17,Non-Allergen
antigen_125|A6U0B2|NAD|WP_001270834.1|tpos:1-269,0.085,0.0,-0.5,-0.415,Non-Allergen
antigen_85|A5IPA9|L-lactate|WP_001031881.1|tpos:1-317,0.161,0.0,0.5,0.661,Allergen
antigen_86|P60946|Putative|WP_000029204.1|tpos:1-293,0.02,0.0,-0.5,-0.48,Non-Allergen
antigen_72|P99088|Enolase|WP_001121760.1|tpos:1-434,0.451,0.0,0.5,0.951,Allergen
antigen_75|Q6G8Y5|Heat-inducible|WP_000627142.1|tpos:1-325,0.044,0.0,-0.5,-0.456,Non-Allergen
antigen_151|A8Z2K2|Transcriptional|WP_000650082.1|tpos:1-156,0.086,0.0,0.0,0.086,Non-Allergen
antigen_154|Q5HF67|Uncharacterized|WP_000161679.1|tpos:1-351,0.104,0.0,-0.5,-0.396,Non-Allergen
antigen_76|Q5HGQ3|Transcriptional|WP_000480800.1|tpos:1-143,0.197,0.0,-0.5,-0.303,Non-Allergen
antigen_79|Q2FK09|Transcriptional|WP_000645456.1|tpos:1-246,0.069,0.5,-0.5,0.069,Non-Allergen
antigen_80|Q5HG90|Homoserine|WP_000073185.1|tpos:1-304,0.168,0.0,-0.5,-0.332,Non-Allergen
antigen_99|Q2YT14|Glycine--tRNA|WP_001030080.1|tpos:1-463,0.279,0.0,0.0,0.279,Non-Allergen
antigen_122|A8Z4B8|Chaperone|WP_001119021.1|tpos:1-379,0.474,0.5,-0.5,0.474,Allergen
antigen_128|Q7A0H9|Sensor|WP_001017131.1|tpos:1-347,0.029,0.0,-0.5,-0.471,Non-Allergen
antigen_130|Q2YUI5|Endoribonuclease|WP_000621175.1|tpos:1-117,0.095,0.0,-0.5,-0.405,Non-Allergen
antigen_131|Q2YXC9|UvrABC|WP_000390518.1|tpos:1-593,0.091,0.0,-0.5,-0.409,Non-Allergen
antigen_140|Q7A417|Putative|WP_000417005.1|tpos:1-317,0.155,0.0,-0.5,-0.345,Non-Allergen
antigen_142|A7X2Z9|Probable|WP_000725167.1|tpos:1-189,0.134,0.5,-0.5,0.134,Non-Allergen
antigen_146|Q8NXW9|Putative|WP_000347056.1|tpos:1-466,0.028,0.0,-0.5,-0.472,Non-Allergen
antigen_150|O50581|ATP-dependent|WP_001151485.1|tpos:1-686,0.041,0.0,-0.5,-0.459,Non-Allergen
antigen_152|Q2FYU5|Small|WP_001085655.1|tpos:1-89,0.076,0.0,-0.5,-0.424,Non-Allergen
antigen_181|P66998|Anthranilate|WP_000173842.1|tpos:1-332,0.13,0.0,-0.5,-0.37,Non-Allergen
antigen_184|A7X1D2|Cell|WP_000018608.1|tpos:1-187,0.084,0.5,-0.5,0.084,Non-Allergen
antigen_186|P99075|Fructose-bisphosphate|WP_001131841.1|tpos:1-286,0.805,0.0,0.5,1.305,Allergen
antigen_189|P65647|Galactose-6-phosphate|WP_000684746.1|tpos:1-171,0.514,0.5,-0.5,0.514,Allergen
antigen_190|A6QEP6|UPF0741|WP_000798969.1|tpos:1-113,0.214,0.0,0.0,0.214,Non-Allergen
antigen_12|A7X4W4|Peptide|WP_000460242.1|tpos:1-358,0.091,0.5,-0.5,0.091,Non-Allergen
antigen_13|Q6GHM6|Guanylate|WP_000368225.1|tpos:1-207,0.085,0.0,-0.5,-0.415,Non-Allergen
antigen_14|A5IRD0|Na(+)/H(+)|WP_000054604.1|tpos:1-801,0.014,0.0,-0.5,-0.486,Non-Allergen
antigen_38|P66134|Large|WP_000916187.1|tpos:1-94,0.229,0.0,0.0,0.229,Non-Allergen
antigen_5|Q7A768|Putative|WP_001070676.1|tpos:1-379,0.207,0.0,-0.5,-0.293,Non-Allergen
antigen_7|Q99WM3|Probable|WP_000199070.1|tpos:1-393,0.2,0.0,-0.5,-0.3,Non-Allergen
antigen_17|P60735|Large|WP_000547687.1|tpos:1-105,0.443,0.5,-0.5,0.443,Allergen
antigen_71|Q6GKT7|Histidine|WP_000177458.1|tpos:1-504,0.031,0.0,-0.5,-0.469,Non-Allergen
antigen_192|P30329|Arsenical|WP_000989106.1|tpos:2-430,0.024,0.0,0.0,0.024,Non-Allergen
antigen_30|P65288|Lipase|WP_075583711.1|tpos:1-680,0.218,0.5,0.0,0.718,Allergen
antigen_24|Q99TX9|Bacilliredoxin|WP_000367419.1|tpos:1-145,0.167,0.0,0.0,0.167,Non-Allergen
antigen_26|Q5HHQ3|Nucleotide-binding|WP_000369722.1|tpos:1-303,0.07,0.0,-0.5,-0.43,Non-Allergen
antigen_28|A6U0V5|Phenylalanine--tRNA|WP_000003566.1|tpos:1-352,0.132,0.0,-0.5,-0.368,Non-Allergen
antigen_2|A7X1Y9|Large|WP_001265708.1|tpos:1-49,0.203,0.0,0.0,0.203,Non-Allergen
antigen_62|A8Z4F9|tRNA-specific|WP_000066097.1|tpos:1-372,0.446,0.0,-0.5,-0.054,Non-Allergen
antigen_70|Q2FGD0|Probable|WP_000725167.1|tpos:1-189,0.134,0.5,-0.5,0.134,Non-Allergen
antigen_73|A8Z3N5|Bifunctional|WP_000003870.1|tpos:1-175,0.119,0.0,0.0,0.119,Non-Allergen
antigen_74|Q7A5S6|Nuclease|WP_000803159.1|tpos:1-1009,0.079,0.5,-0.5,0.079,Non-Allergen
antigen_77|A7X5C8|Large|WP_000868342.1|tpos:1-37,0.347,0.0,0.0,0.347,Allergen
antigen_78|Q2FZJ0|Phosphoribosylformylglycinamidine|WP_000032745.1|tpos:1-729,0.49,0.0,-0.5,-0.01,Non-Allergen
antigen_84|A5ITJ2|Glutamate-1-semialdehyde|WP_001270861.1|tpos:1-428,0.233,0.0,-0.5,-0.267,Non-Allergen
antigen_87|Q2FXU5|Aspartate--tRNA|WP_000044799.1|tpos:1-588,0.098,0.0,-0.5,-0.402,Non-Allergen
antigen_92|A6U0U2|Phosphopantetheine|WP_000401377.1|tpos:1-160,0.037,0.0,-0.5,-0.463,Non-Allergen
antigen_94|Q7A1B9|NAD-specific|WP_000138487.1|tpos:1-414,0.126,0.0,0.0,0.126,Non-Allergen
antigen_188|Q5HGH0|Phosphatidate|WP_000868412.1|tpos:1-260,0.016,0.0,-0.5,-0.484,Non-Allergen
antigen_193|P68821|Phosphoglycerate|WP_001074748.1|tpos:1-396,0.593,0.0,0.0,0.593,Allergen
antigen_196|P63843|Global|WP_000055337.1|tpos:1-257,0.037,0.0,-0.5,-0.463,Non-Allergen
antigen_197|P0A0M8|Putative|WP_000479222.1|tpos:1-144,0.184,0.0,-0.5,-0.316,Non-Allergen
antigen_58|Q6G664|Oxygen-dependent|WP_000066519.1|tpos:1-569,0.246,0.0,0.5,0.746,Allergen
antigen_51|Q6GGD6|Putative|WP_000411298.1|tpos:1-272,0.084,0.0,-0.5,-0.416,Non-Allergen
antigen_49|Q6GJN0|Uncharacterized|WP_001205664.1|tpos:1-264,0.182,0.0,0.0,0.182,Non-Allergen
antigen_50|P63730|Carbamoyl|WP_001190913.1|tpos:1-366,0.189,0.5,-0.5,0.189,Non-Allergen
antigen_57|Q2FY46|Exodeoxyribonuclease|WP_001286928.1|tpos:1-445,0.031,0.5,-0.5,0.031,Non-Allergen
antigen_59|Q2G035|Epimerase|WP_000816301.1|tpos:1-300,0.075,0.0,-0.5,-0.425,Non-Allergen
antigen_104|A8Z325|Large|WP_001250036.1|tpos:1-145,0.209,0.0,-0.5,-0.291,Non-Allergen
antigen_105|P65664|Aspartate|WP_000621532.1|tpos:1-127,0.118,0.0,0.0,0.118,Non-Allergen
antigen_106|A0A0H3K9F2|Low|WP_000228666.1|tpos:1-154,0.167,0.0,0.0,0.167,Non-Allergen
antigen_136|Q2FG95|Probable|WP_000717800.1|tpos:1-291,0.114,0.0,-0.5,-0.386,Non-Allergen
antigen_137|Q5HHB7|ATP-dependent|WP_000154918.1|tpos:1-1217,0.123,0.0,-0.5,-0.377,Non-Allergen
"antigen_124|A8Z4J3|6,7-dimethyl-8-ribityllumazine|WP_001008551.1|tpos:1-154",0.544,0.0,-0.5,0.044,Non-Allergen
antigen_126|Q2FXV6|tRNA-specific|WP_000066097.1|tpos:1-372,0.446,0.0,-0.5,-0.054,Non-Allergen
antigen_133|Q6GH52|Glycerol-3-phosphate|WP_000972775.1|tpos:1-202,0.038,0.0,-0.5,-0.462,Non-Allergen
antigen_134|A7X1P4|DNA|WP_078064692.1|tpos:1-1436,0.101,0.5,-0.5,0.101,Non-Allergen
antigen_165|P65407|Molybdopterin|WP_000259726.1|tpos:1-419,0.464,0.5,-0.5,0.464,Allergen
antigen_8|P64400|33|WP_000148605.1|tpos:1-293,0.615,0.0,0.0,0.615,Allergen
antigen_31|A7X5F7|Small|WP_000124353.1|tpos:1-92,0.363,0.0,0.0,0.363,Allergen
antigen_32|Q5HFH6|Elongation|WP_000368338.1|tpos:1-607,0.146,0.5,-0.5,0.146,Non-Allergen
antigen_166|P64218|Probable|WP_000019688.1|tpos:1-448,0.164,0.0,-0.5,-0.336,Non-Allergen
antigen_183|Q8NYF5|Type|WP_000728950.1|tpos:1-1009,0.079,0.5,0.0,0.579,Allergen
antigen_132|Q2YV11|Putative|WP_000290404.1|tpos:1-495,0.506,0.0,0.5,1.006,Allergen
antigen_135|Q5HFW9|Asparagine--tRNA|WP_000858795.1|tpos:1-430,0.088,0.5,-0.5,0.088,Non-Allergen
antigen_175|A6U2J5|Tyrosine--tRNA|WP_000186037.1|tpos:1-420,0.162,0.0,-0.5,-0.338,Non-Allergen
antigen_1|Q2FGE5|Ribosomal|WP_001104611.1|tpos:1-312,0.111,0.0,-0.5,-0.389,Non-Allergen
