Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_183|Q83D09|UPF0422|BBL37018.1|tpos:19-483,0.275,0.5,0.0,0.775,Allergen
antigen_81|Q83A42|Thymidine|BBL37812.1|tpos:1-196,0.077,0.5,0.0,0.577,Allergen
antigen_77|Q83AK6|Peptide|BBL36180.1|tpos:1-209,0.075,0.0,-0.5,-0.425,Non-Allergen
antigen_78|B6J1M3|Adenylate|BBL37387.1|tpos:1-231,0.035,0.0,-0.5,-0.465,Non-Allergen
antigen_58|Q83FA3|dITP/XTP|BBL37725.1|tpos:1-200,0.049,0.0,-0.5,-0.451,Non-Allergen
antigen_59|A9KFZ6|Acetyl-coenzyme|BBL36983.1|tpos:1-291,0.036,0.0,-0.5,-0.464,Non-Allergen
antigen_60|B6J2H8|Glycine|BBL36330.1|tpos:1-130,0.264,0.5,-0.5,0.264,Non-Allergen
antigen_120|A9KG91|Protein|BBL36687.1|tpos:5-208,0.051,0.0,-0.5,-0.449,Non-Allergen
antigen_80|Q83F55|Chaperone|BBL37686.1|tpos:1-859,0.023,0.5,-0.5,0.023,Non-Allergen
antigen_184|B6J0H4|Probable|BBL36978.1|tpos:1-147,0.06,0.5,-0.5,0.06,Non-Allergen
antigen_14|B6J1Y7|Ribonuclease|BBL37493.1|tpos:1-154,0.208,0.0,0.0,0.208,Non-Allergen
antigen_15|P19685|Superoxide|BBL36336.1|tpos:1-193,0.363,0.5,0.5,1.363,Allergen
antigen_82|P39916|Thioredoxin|BBL36778.1|tpos:1-320,0.178,0.5,-0.5,0.178,Non-Allergen
"antigen_196|A9KF70|2,3-bisphosphoglycerate-independent|BBL36479.1|tpos:1-519",0.133,0.0,0.0,0.133,Non-Allergen
antigen_48|B6J0V9|ATP-dependent|BBL36851.1|tpos:1-422,0.129,0.0,0.0,0.129,Non-Allergen
antigen_49|Q83AY5|UPF0102|BBL36304.1|tpos:1-120,0.044,0.0,-0.5,-0.456,Non-Allergen
antigen_121|Q83B44|Enolase|BBL36366.1|tpos:1-428,0.124,0.5,0.5,1.124,Allergen
antigen_12|B6IZM7|Dual-specificity|BBL36724.1|tpos:1-370,0.019,0.0,-0.5,-0.481,Non-Allergen
antigen_13|B6J0J6|Small|BBL36958.1|tpos:1-127,0.094,0.0,-0.5,-0.406,Non-Allergen
antigen_162|Q83BF8|RNA|BBL36467.1|tpos:1-228,0.165,0.0,0.0,0.165,Non-Allergen
antigen_149|P45651|Glycine--tRNA|BBL36148.1|tpos:4-692,0.067,0.0,-0.5,-0.433,Non-Allergen
antigen_79|B6J316|Phosphatidylserine|BBL36229.1|tpos:1-282,0.049,0.0,-0.5,-0.451,Non-Allergen
antigen_152|B6J9K3|Large|BBL37442.1|tpos:1-90,0.16,0.0,0.0,0.16,Non-Allergen
antigen_153|B6IZ24|Aspartyl/glutamyl-tRNA(Asn/Gln)|BBL36526.1|tpos:1-477,0.104,0.0,-0.5,-0.396,Non-Allergen
antigen_155|A9NAF8|Cell|BBL37635.1|tpos:13-270,0.092,0.0,-0.5,-0.408,Non-Allergen
antigen_157|Q9KI19|RNA|BBL36370.1|tpos:1-352,0.036,0.5,0.0,0.536,Allergen
antigen_76|Q4AAX7|tRNA|BBL36566.1|tpos:1-309,0.017,0.0,-0.5,-0.483,Non-Allergen
antigen_39|B6IYU5|Probable|BBL36454.1|tpos:1-244,0.12,0.0,-0.5,-0.38,Non-Allergen
antigen_40|B6IZ97|Succinate--CoA|BBL36595.1|tpos:1-390,0.082,0.5,0.0,0.582,Allergen
"antigen_126|Q83DN1|2,3,4,5-tetrahydropyridine-2,6-dicarboxylate|BBL37200.1|tpos:1-271",0.409,0.0,0.0,0.409,Allergen
antigen_127|B6J216|Phosphopantetheine|BBL37519.1|tpos:1-159,0.042,0.0,-0.5,-0.458,Non-Allergen
antigen_128|A9KD10|Large|BBL37544.1|tpos:1-40,0.318,0.0,0.0,0.318,Allergen
antigen_129|B6J395|Diaminopimelate|BBL37734.1|tpos:1-276,0.386,0.0,-0.5,-0.114,Non-Allergen
antigen_87|Q83CW6|23S|BBL37062.1|tpos:21-270,0.046,0.0,-0.5,-0.454,Non-Allergen
antigen_89|Q81ZL2|Chromosome|BBL37302.1|tpos:1-1169,0.036,0.0,-0.5,-0.464,Non-Allergen
antigen_101|Q83AL3|3-demethoxyubiquinol|BBL36189.1|tpos:1-215,0.08,0.5,-0.5,0.08,Non-Allergen
antigen_103|A9NAA4|UPF0102|BBL36304.1|tpos:1-120,0.044,0.0,-0.5,-0.456,Non-Allergen
antigen_107|B6J5E7|Large|BBL37550.1|tpos:1-178,0.219,0.0,0.0,0.219,Non-Allergen
antigen_108|B6J6S6|Small|BBL36947.1|tpos:1-89,0.084,0.0,-0.5,-0.416,Non-Allergen
antigen_109|Q83AU6|Phosphoglycerate|BBL36269.1|tpos:14-404,0.115,0.0,0.0,0.115,Non-Allergen
antigen_110|A9KBK4|NADH-quinone|BBL36548.1|tpos:1-120,0.091,0.0,-0.5,-0.409,Non-Allergen
antigen_111|B6J0K5|Polyribonucleotide|BBL36948.1|tpos:1-696,0.048,0.5,0.0,0.548,Allergen
antigen_28|Q83DY4|Probable|BBL37287.1|tpos:8-222,0.111,0.5,-0.5,0.111,Non-Allergen
antigen_31|B6J517|UPF0761|BBL36444.1|tpos:1-278,0.052,0.5,-0.5,0.052,Non-Allergen
antigen_37|A9KBK6|NADH-quinone|BBL36550.1|tpos:1-227,0.052,0.0,-0.5,-0.448,Non-Allergen
antigen_41|B6J185|Thiosulfate|BBL37260.1|tpos:1-107,0.254,0.0,0.0,0.254,Non-Allergen
antigen_43|B6J5K9|Phospho-N-acetylmuramoyl-pentapeptide-transferase|BBL37655.1|tpos:1-361,0.016,0.0,-0.5,-0.484,Non-Allergen
antigen_46|B6J2U5|Phosphoheptose|BBL36303.1|tpos:1-199,0.06,0.0,-0.5,-0.44,Non-Allergen
antigen_116|B6J8K9|UDP-3-O-acylglucosamine|BBL37246.1|tpos:1-342,0.2,0.5,-0.5,0.2,Non-Allergen
antigen_117|P18789|Citrate|BBL36584.1|tpos:1-430,0.15,0.5,0.0,0.65,Allergen
antigen_97|A9KDP4|Small|BBL36429.1|tpos:13-86,0.132,0.5,0.0,0.632,Allergen
antigen_98|B6IZ81|Transcriptional|BBL36577.1|tpos:1-157,0.133,0.0,0.0,0.133,Non-Allergen
antigen_99|B6J2D7|ATP|BBL36122.1|tpos:1-185,0.084,0.0,-0.5,-0.416,Non-Allergen
antigen_100|B6IZI4|NAD|BBL36684.1|tpos:1-299,0.087,0.0,-0.5,-0.413,Non-Allergen
antigen_175|B6IZ00|GTPase|BBL36505.1|tpos:1-295,0.016,0.0,-0.5,-0.484,Non-Allergen
antigen_29|B6J5E4|Large|BBL37553.1|tpos:1-182,0.103,0.0,-0.5,-0.397,Non-Allergen
antigen_146|B6J260|Large|BBL37562.1|tpos:1-275,0.211,0.0,-0.5,-0.289,Non-Allergen
antigen_147|A9KBT2|Putative|BBL36144.1|tpos:1-56,0.217,0.0,-0.5,-0.283,Non-Allergen
antigen_148|A9KC01|Oxygen-dependent|BBL36316.1|tpos:7-316,0.228,0.0,-0.5,-0.272,Non-Allergen
antigen_141|B6J202|DNA-directed|BBL37506.1|tpos:1-97,0.152,0.0,-0.5,-0.348,Non-Allergen
antigen_142|Q83D70|FAD|BBL36964.1|tpos:1-82,0.093,0.0,0.0,0.093,Non-Allergen
antigen_145|B6IZD5|Ribosomal|BBL36633.1|tpos:1-212,0.096,0.0,-0.5,-0.404,Non-Allergen
antigen_194|B6J5F5|Small|BBL37541.1|tpos:1-123,0.164,0.0,0.0,0.164,Non-Allergen
antigen_195|Q83CM5|Bifunctional|BBL37134.1|tpos:1-488,0.027,0.0,-0.5,-0.473,Non-Allergen
antigen_188|B6J2J3|Glutamate--tRNA|BBL37597.1|tpos:5-473,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_131|P39920|DNA|BBL36779.1|tpos:8-785,0.008,0.0,-0.5,-0.492,Non-Allergen
antigen_174|Q83AL0|Glutathione|BBL36184.1|tpos:1-321,0.026,0.0,0.0,0.026,Non-Allergen
antigen_191|Q83D83|Tetraacyldisaccharide|BBL36952.1|tpos:1-325,0.198,0.0,-0.5,-0.302,Non-Allergen
antigen_192|B6J267|Small|BBL37569.1|tpos:1-191,0.106,0.0,-0.5,-0.394,Non-Allergen
antigen_197|Q83BD3|UPF0761|BBL36444.1|tpos:1-278,0.052,0.5,-0.5,0.052,Non-Allergen
antigen_198|Q83F44|Methionine|BBL37672.1|tpos:1-351,0.008,0.0,-0.5,-0.492,Non-Allergen
antigen_180|Q83BB2|Uncharacterized|BBL36424.1|tpos:1-181,0.299,0.0,0.0,0.299,Non-Allergen
antigen_181|B6J734|Adenylosuccinate|BBL37070.1|tpos:1-435,0.068,0.0,-0.5,-0.432,Non-Allergen
antigen_85|B6J8V2|Ribosomal|BBL36139.1|tpos:1-204,0.061,0.0,-0.5,-0.439,Non-Allergen
antigen_86|Q83CU8|Malonyl-[acyl-carrier|BBL37076.1|tpos:1-248,0.065,0.0,-0.5,-0.435,Non-Allergen
antigen_91|Q83EX7|Tyrosine--tRNA|BBL37610.1|tpos:1-399,0.021,0.0,-0.5,-0.479,Non-Allergen
antigen_30|Q83C11|Translation|BBL36657.1|tpos:1-169,0.124,0.5,-0.5,0.124,Non-Allergen
antigen_32|B6J9C8|Outer-membrane|BBL36226.1|tpos:1-210,0.126,0.0,-0.5,-0.374,Non-Allergen
antigen_122|B6J1C6|DNA|BBL37300.1|tpos:1-673,0.029,0.5,-0.5,0.029,Non-Allergen
antigen_18|B6J5B9|Large|BBL37578.1|tpos:1-232,0.305,0.5,0.0,0.805,Allergen
antigen_19|B6IZM3|Nucleoside|BBL36720.1|tpos:1-144,0.335,0.0,0.5,0.835,Allergen
antigen_21|Q83F59|Tol-Pal|BBL37690.1|tpos:4-440,0.178,0.0,-0.5,-0.322,Non-Allergen
antigen_16|B6J5L9|Nucleotide-binding|BBL37664.1|tpos:1-160,0.323,0.0,0.0,0.323,Allergen
antigen_17|B6J4L3|Glycerol-3-phosphate|BBL36489.1|tpos:1-332,0.015,0.5,-0.5,0.015,Non-Allergen
antigen_20|B6J5W3|Phosphomethylpyrimidine|BBL37484.1|tpos:1-554,0.01,0.5,0.0,0.51,Allergen
antigen_42|B6J256|Large|BBL37558.1|tpos:1-137,0.167,0.5,-0.5,0.167,Non-Allergen
antigen_44|A9KFQ0|Translation|BBL36776.1|tpos:1-83,0.13,0.0,0.0,0.13,Non-Allergen
antigen_47|A9NBU1|UPF0301|BBL37836.1|tpos:14-194,0.247,0.0,-0.5,-0.253,Non-Allergen
antigen_159|B6J2R9|Nucleotide-binding|BBL37664.1|tpos:1-160,0.323,0.0,0.0,0.323,Allergen
antigen_160|B6J1S7|Small|BBL37439.1|tpos:1-90,0.18,0.0,-0.5,-0.32,Non-Allergen
antigen_54|Q83C16|Integration|BBL36663.1|tpos:1-103,0.214,0.0,-0.5,-0.286,Non-Allergen
antigen_55|P45680|Universal|BBL36147.1|tpos:1-146,0.161,0.0,-0.5,-0.339,Non-Allergen
antigen_56|Q83C93|Oligoribonuclease|BBL36739.1|tpos:1-183,0.02,0.5,-0.5,0.02,Non-Allergen
antigen_57|A9KBK2|Triosephosphate|BBL36546.1|tpos:17-271,0.058,0.0,0.5,0.558,Allergen
antigen_118|B6J1I8|Large|BBL37353.1|tpos:1-64,0.152,0.0,-0.5,-0.348,Non-Allergen
antigen_94|A9KG24|DNA|BBL37106.1|tpos:13-871,0.036,0.5,-0.5,0.036,Non-Allergen
antigen_113|A9KEI7|Lipoprotein|BBL37433.1|tpos:3-165,0.067,0.0,-0.5,-0.433,Non-Allergen
antigen_114|B6J3P6|Ubiquinone/menaquinone|BBL37780.1|tpos:1-250,0.048,0.0,-0.5,-0.452,Non-Allergen
antigen_115|B6J503|Probable|BBL36454.1|tpos:1-244,0.12,0.0,-0.5,-0.38,Non-Allergen
antigen_176|B6J7Q5|Histidine--tRNA|BBL36727.1|tpos:1-421,0.013,0.0,-0.5,-0.487,Non-Allergen
antigen_61|A9KD36|Small|BBL37570.1|tpos:17-140,0.229,0.0,-0.5,-0.271,Non-Allergen
antigen_62|B6J5R6|Ferrochelatase|BBL37726.1|tpos:1-354,0.015,0.0,-0.5,-0.485,Non-Allergen
antigen_63|Q83BS1|Translation|BBL36564.1|tpos:1-803,0.052,0.0,-0.5,-0.448,Non-Allergen
antigen_150|B6J016|DNA|BBL37130.1|tpos:1-575,0.033,0.0,-0.5,-0.467,Non-Allergen
antigen_189|Q83CP9|Segregation|BBL37110.1|tpos:1-209,0.143,0.0,-0.5,-0.357,Non-Allergen
antigen_190|A9KD37|DNA-directed|BBL37573.1|tpos:1-1414,0.011,0.5,-0.5,0.011,Non-Allergen
antigen_125|B6J1A4|tRNA-2-methylthio-N(6)-dimethylallyladenosine|BBL37276.1|tpos:1-439,0.01,0.0,-0.5,-0.49,Non-Allergen
antigen_137|B6J259|Small|BBL37561.1|tpos:1-95,0.186,0.0,0.0,0.186,Non-Allergen
antigen_138|B6J1A6|Endoribonuclease|BBL37278.1|tpos:1-152,0.232,0.0,-0.5,-0.268,Non-Allergen
antigen_139|B6J255|Large|BBL37557.1|tpos:1-65,0.142,0.0,-0.5,-0.358,Non-Allergen
antigen_6|B6J7V9|Protein|BBL36679.1|tpos:1-101,0.036,0.0,0.0,0.036,Non-Allergen
antigen_7|P51053|Succinate|BBL36592.1|tpos:9-243,0.37,0.0,0.0,0.37,Allergen
antigen_158|Q83BJ9|tRNA(Ile)-lysidine|BBL36498.1|tpos:1-449,0.025,0.0,-0.5,-0.475,Non-Allergen
antigen_177|A9KBJ2|Cysteine--tRNA|BBL36515.1|tpos:3-460,0.05,0.0,-0.5,-0.45,Non-Allergen
antigen_5|Q83E10|Cytidylate|BBL37315.1|tpos:1-237,0.036,0.0,-0.5,-0.464,Non-Allergen
antigen_106|B6IZT4|Serine--tRNA|BBL36782.1|tpos:1-423,0.043,0.0,-0.5,-0.457,Non-Allergen
antigen_170|B6J4R1|UPF0102|BBL36304.1|tpos:1-120,0.044,0.0,-0.5,-0.456,Non-Allergen
antigen_171|Q83F34|Cell|BBL37661.1|tpos:1-115,0.08,0.0,0.0,0.08,Non-Allergen
antigen_172|B6J5F0|Large|BBL37547.1|tpos:1-63,0.154,0.0,0.0,0.154,Non-Allergen
antigen_102|A9NA23|Nucleotide-binding|BBL37664.1|tpos:1-160,0.323,0.0,0.0,0.323,Allergen
antigen_104|Q83A18|UPF0301|BBL37836.1|tpos:1-194,0.129,0.0,-0.5,-0.371,Non-Allergen
antigen_105|B6J7X7|Phenylalanine--tRNA|BBL36661.1|tpos:1-328,0.041,0.0,-0.5,-0.459,Non-Allergen
antigen_8|B6J957|ATP|BBL36125.1|tpos:1-264,0.031,0.0,-0.5,-0.469,Non-Allergen
antigen_9|A9KBR3|Small|BBL36603.1|tpos:47-359,0.1,0.0,-0.5,-0.4,Non-Allergen
antigen_10|Q83FB6|Translational|BBL36087.1|tpos:1-68,0.221,0.0,0.0,0.221,Non-Allergen
antigen_11|Q83D84|ATP-dependent|BBL36951.1|tpos:8-596,0.016,0.5,-0.5,0.016,Non-Allergen
antigen_22|B6J6A9|Ribosome|BBL36562.1|tpos:1-153,0.033,0.0,-0.5,-0.467,Non-Allergen
antigen_24|B6IZF9|Large|BBL36660.1|tpos:1-119,0.173,0.0,0.0,0.173,Non-Allergen
antigen_25|A9KFL6|Small|BBL36959.1|tpos:1-73,0.208,0.0,-0.5,-0.292,Non-Allergen
"antigen_26|B6J134|6,7-dimethyl-8-ribityllumazine|BBL37213.1|tpos:1-151",0.148,0.0,-0.5,-0.352,Non-Allergen
antigen_140|B6J625|Peptide|BBL37730.1|tpos:1-361,0.053,0.0,-0.5,-0.447,Non-Allergen
antigen_143|Q83AC6|LPS-assembly|BBL37742.1|tpos:1-870,0.21,0.5,-0.5,0.21,Non-Allergen
antigen_151|A9NA67|Dihydroorotase|BBL36341.1|tpos:4-351,0.076,0.0,-0.5,-0.424,Non-Allergen
antigen_68|A9KDE7|UPF0301|BBL37836.1|tpos:14-194,0.247,0.0,-0.5,-0.253,Non-Allergen
antigen_69|B6J5W6|Thiazole|BBL37481.1|tpos:1-259,0.025,0.0,0.0,0.025,Non-Allergen
antigen_70|B6J2E2|Bifunctional|BBL36117.1|tpos:1-455,0.161,0.5,-0.5,0.161,Non-Allergen
antigen_90|B6IZE4|Ribonuclease|BBL36644.1|tpos:1-202,0.102,0.5,-0.5,0.102,Non-Allergen
antigen_92|B6J4A3|Shikimate|BBL36169.1|tpos:1-176,0.056,0.0,-0.5,-0.444,Non-Allergen
antigen_93|B6J4T8|Probable|BBL36332.1|tpos:1-491,0.04,0.0,-0.5,-0.46,Non-Allergen
antigen_83|B6IYZ2|Acetyl-coenzyme|BBL36497.1|tpos:1-316,0.07,0.0,0.0,0.07,Non-Allergen
antigen_65|Q83EP4|Single-stranded|BBL37535.1|tpos:1-158,0.197,0.0,-0.5,-0.303,Non-Allergen
antigen_66|Q83E35|Thymidylate|BBL37345.1|tpos:1-161,0.013,0.0,-0.5,-0.487,Non-Allergen
antigen_67|B6J5L7|Ribosomal|BBL37662.1|tpos:1-307,0.026,0.0,-0.5,-0.474,Non-Allergen
antigen_199|A9KDD3|7-cyano-7-deazaguanine|BBL37826.1|tpos:19-244,0.351,0.5,0.0,0.851,Allergen
antigen_33|P45648|Ribonuclease|BBL36145.1|tpos:2-122,0.198,0.0,0.0,0.198,Non-Allergen
antigen_34|Q83D67|Chorismate|BBL36967.1|tpos:1-352,0.063,0.0,-0.5,-0.437,Non-Allergen
antigen_36|A9N9A0|Probable|BBL36454.1|tpos:1-244,0.12,0.0,-0.5,-0.38,Non-Allergen
antigen_179|B6J0K9|Glucose-6-phosphate|BBL36944.1|tpos:1-547,0.01,0.5,-0.5,0.01,Non-Allergen
antigen_1|A9KF61|Thymidylate|BBL36471.1|tpos:1-264,0.098,0.0,-0.5,-0.402,Non-Allergen
antigen_0|B6J655|Methionyl-tRNA|BBL37760.1|tpos:1-314,0.021,0.0,-0.5,-0.479,Non-Allergen
antigen_167|B6J7W1|SsrA-binding|BBL36677.1|tpos:1-159,0.067,0.0,-0.5,-0.433,Non-Allergen
antigen_168|A9KF43|Probable|BBL36454.1|tpos:1-244,0.12,0.0,-0.5,-0.38,Non-Allergen
antigen_169|B6J4X6|5'-nucleotidase|BBL36368.1|tpos:1-258,0.053,0.0,-0.5,-0.447,Non-Allergen
antigen_178|B6J1E0|Phosphoserine|BBL37317.1|tpos:1-360,0.092,0.0,-0.5,-0.408,Non-Allergen
antigen_71|B6J247|Large|BBL37549.1|tpos:1-117,0.181,0.0,0.0,0.181,Non-Allergen
antigen_72|B6IZ55|NADH-quinone|BBL36558.1|tpos:1-101,0.099,0.0,-0.5,-0.401,Non-Allergen
antigen_73|Q83AH2|Probable|BBL36137.1|tpos:1-290,0.029,0.0,0.0,0.029,Non-Allergen
antigen_74|Q45885|Co-chaperone|BBL36186.1|tpos:2-271,0.189,0.0,0.0,0.189,Non-Allergen
antigen_75|B6J1I7|Phosphate|BBL37352.1|tpos:1-343,0.083,0.0,-0.5,-0.417,Non-Allergen
antigen_119|B6IYU2|Holliday|BBL36451.1|tpos:1-351,0.071,0.5,0.0,0.571,Allergen
antigen_154|A9KF98|Elongation|BBL36502.1|tpos:13-614,0.031,0.0,-0.5,-0.469,Non-Allergen
antigen_156|A9KG28|Alanine--tRNA|BBL37102.1|tpos:1-865,0.027,0.5,-0.5,0.027,Non-Allergen
antigen_163|B6J4A4|3-dehydroquinate|BBL36168.1|tpos:1-360,0.115,0.5,-0.5,0.115,Non-Allergen
antigen_64|B6J0G0|Large|BBL36991.1|tpos:1-79,0.221,0.0,0.0,0.221,Non-Allergen
