query_accession,uniparc_upi,Uniprot_ID,organism
WP_000160858.1,UPI00020F2787,A0AAE8PCK2,Staphylococcus aureus
WP_000160859.1,UPI0000054409,A0A0D6WE06,Staphylococcus aureus
WP_000161219.1,UPI00020F1DDF,A0AAE2ZU24,Staphylococcus aureus
WP_000162804.1,UPI00003B192E,A0AAJ4YV34,Staphylococcus aureus
WP_000162810.1,UPI00000D7774,A0A0D1HWZ3,Staphylococcus aureus
WP_000182553.1,UPI00003B17AD,A0AAJ4YVQ1,Staphylococcus aureus
WP_000185311.1,UPI00003B1536,A0A167H2Q7,Staphylococcus aureus
WP_000185319.1,UPI00000542A2,W8U0B2,Staphylococcus aureus
WP_000186223.1,UPI00006E721A,A0A390V9S3,Staphylococcus aureus
WP_000186228.1,UPI00003B13BE,A0AAJ5CTA4,Staphylococcus aureus
WP_000197013.1,UPI00024E4471,A0AAE2ZV74,Staphylococcus aureus
WP_000197018.1,UPI00000CAA43,A0A389VEG0,Staphylococcus aureus
WP_000197023.1,UPI00003B1A87,A0A641AA31,Staphylococcus aureus
WP_000197096.1,UPI00003B1550,A0A166IYH7,Staphylococcus aureus
WP_000205305.1,UPI00000D9F7C,A0A641A7E2,Staphylococcus aureus
WP_000205307.1,UPI00000549F6,W8TR80,Staphylococcus aureus
WP_000208417.1,UPI00000CABDC,A0A390WCR0,Staphylococcus aureus
WP_000208418.1,UPI00000D9C1D,A0A641A9B3,Staphylococcus aureus
WP_000208556.1,UPI00003B1B36,A0A641A8R9,Staphylococcus aureus
WP_000208572.1,UPI00020F2E62,A0AAE2ZZ06,Staphylococcus aureus
WP_000208581.1,UPI00003B194A,A0AAJ4YVE5,Staphylococcus aureus
WP_000216725.1,UPI00000CAD77,A0A3A5LNY2,Staphylococcus aureus
WP_000216727.1,UPI00004B5B55,A0A0D1IUM4,Staphylococcus aureus
WP_000222233.1,UPI00000D9F55,A0A641A7R9,Staphylococcus aureus
WP_000222252.1,UPI00020F2C8C,A0AAE8P9H1,Staphylococcus aureus
WP_000222267.1,UPI00000CABFC,A0A389XYY8,Staphylococcus aureus
WP_000222271.1,UPI00003B189B,A0A0Z0MT78,Staphylococcus aureus
WP_000230292.1,UPI00000CA9EB,A0A389UAT8,Staphylococcus aureus
WP_000230294.1,UPI00000D9FAB,A0A0D3QAT6,Staphylococcus aureus
WP_000239545.1,UPI00000D9E0F,B1Q017,Staphylococcus aureus
WP_000239610.1,UPI0000696C85,A0A513Q6V6,Staphylococcus aureus
WP_000239820.1,UPI00000D9D46,A0A641AAZ3,Staphylococcus aureus
WP_000246909.1,UPI00000D774D,A0A0D1GVP1,Staphylococcus aureus
WP_000250735.1,UPI00020F2A2B,A0AAE2ZSI2,Staphylococcus aureus
WP_000265041.1,UPI0001DD987A,A0AAW4YAX5,Staphylococcus aureus
WP_000265043.1,UPI000009B286,A0A0E8IMG8,Staphylococcus aureus
WP_000265252.1,UPI00000D9E1D,A0A1S6CY57,Staphylococcus aureus
WP_000265258.1,UPI00003B16C2,A0A4T9Y7X1,Staphylococcus aureus
WP_000267034.1,UPI000005446B,A0A0D1HE14,Staphylococcus aureus
WP_000274029.1,UPI0000054731,A0A0D6W4S3,Staphylococcus aureus
WP_000274040.1,UPI00003B1525,A0A166MPJ8,Staphylococcus aureus
WP_000277154.1,UPI00003B14BF,D2J6U4,Staphylococcus aureus
WP_000278088.1,UPI00000010A4,P0A0L5,Staphylococcus aureus
WP_000339142.1,UPI00003B16B3,A0AAJ4YUB2,Staphylococcus aureus
WP_000339144.1,UPI000009B334,A0A4U2KP01,Staphylococcus aureus
WP_000339146.1,UPI000009C019,X5DW82,Staphylococcus aureus
WP_000351243.1,UPI00000D76B0,A0A6M1ABI1,Staphylococcus aureus
WP_000379091.1,UPI00003B17D5,A0A166J0L6,Staphylococcus aureus
WP_000379098.1,UPI00000544F6,W8U4T8,Staphylococcus aureus
WP_000416756.1,UPI0000054328,A0A0D3Q8P9,Staphylococcus aureus
WP_000416759.1,UPI00000D9EC9,A0A0G2LTE5,Staphylococcus aureus
WP_000428172.1,UPI000005449E,W8UWJ4,Staphylococcus aureus
WP_000432068.1,UPI00020F1FB4,H9BJ77,Staphylococcus aureus
WP_000432070.1,UPI00003B15C8,H9BJ68,Staphylococcus aureus
WP_000432076.1,UPI00000D9D8C,H9BJ80,Staphylococcus aureus
WP_000432078.1,UPI00000CACD5,A0A9P2YWD9,Staphylococcus aureus
WP_000455735.1,UPI0000F5373D,Q6GJM8,Staphylococcus aureus (strain MRSA252)
WP_000455858.1,UPI00020F27DC,A0AAE3D3N5,Staphylococcus aureus
WP_000455861.1,UPI00000548B8,W8U332,Staphylococcus aureus
WP_000456136.1,UPI00000D9C82,A0A6B5TU88,Staphylococcus aureus
WP_000466739.1,UPI00000D9C55,A0A641A9I3,Staphylococcus aureus
WP_000466742.1,UPI0001DA2256,A0A2S6D624,Staphylococcus aureus
WP_000466746.1,UPI00003B13E5,A0A145HED3,Staphylococcus aureus
WP_000466748.1,UPI0000054558,A0A0D6WE86,Staphylococcus aureus
WP_000467123.1,UPI00000D7693,A0A2C6MZL2,Staphylococcus aureus
WP_000467124.1,UPI00003B1ABE,Q6GA99,Staphylococcus aureus (strain MSSA476)
WP_000472256.1,UPI00000542D4,W8TW02,Staphylococcus aureus
WP_000472257.1,UPI00003B1701,A0A115HMG3,Staphylococcus aureus
WP_000473140.1,UPI00020F2C7B,A0AAE8PD83,Staphylococcus aureus
WP_000473596.1,UPI00000D7779,A0A2C6MVP5,Staphylococcus aureus
WP_000473942.1,UPI00000D9C53,A0A641A990,Staphylococcus aureus
WP_000475325.1,UPI00000CAA85,A0A391EL89,Staphylococcus aureus
WP_000476346.1,UPI00000CAAFD,Q33C62,Staphylococcus aureus
WP_000476865.1,UPI00000CABE0,A0A389QEW1,Staphylococcus aureus
WP_000476866.1,UPI00000D9E0D,A0A641ABK1,Staphylococcus aureus
WP_000476878.1,UPI00003B16B0,A0AAJ5CRW3,Staphylococcus aureus
WP_000482647.1,UPI0001DA2354,A0A2P7CQJ7,Staphylococcus aureus
WP_000482651.1,UPI0005C26AFC,A0A2K4AFL5,Staphylococcus schweitzeri
WP_000482652.1,UPI0001B5A5A8,A0A2U0ISP5,Staphylococcus aureus
WP_000499647.1,UPI00000D9DCE,A0A2Y9TQ37,Staphylococcus aureus
WP_000499650.1,UPI00000CADF6,A0A2U0IMZ5,Staphylococcus aureus
WP_000499651.1,UPI0001EFF15F,A0A6B5F8B5,Staphylococcus aureus
WP_000503564.1,UPI00020F258E,A0AAE3D531,Staphylococcus aureus
WP_000516798.1,UPI00000CAC64,A0A391E4G2,Staphylococcus aureus
WP_000516800.1,UPI0000054A43,A0A068DWK6,Staphylococcus aureus
WP_000516801.1,UPI00020F2A44,A0AAE2ZXF7,Staphylococcus aureus
WP_000517164.1,UPI00020F21AA,A0AAE8TIF0,Staphylococcus aureus
WP_000517176.1,UPI00000D9D43,A0A6B2IZR7,Staphylococcus aureus
WP_000517183.1,UPI00000CAC91,A0A391DGH4,Staphylococcus aureus
WP_000540315.1,UPI00000D9C83,A0A641A9D2,Staphylococcus aureus
WP_000540323.1,UPI00000CADAE,A0A391EKT5,Staphylococcus aureus
WP_000540879.1,UPI00000CAC21,A0A389Q5J4,Staphylococcus aureus
WP_000540898.1,UPI00003B1408,A0A166N8V6,Staphylococcus aureus
WP_000540914.1,UPI00003B1409,A0AAJ5CTK1,Staphylococcus aureus
WP_000540916.1,UPI00000D9C81,A0A641A9N0,Staphylococcus aureus
WP_000542365.1,UPI00006E4C69,A0A4P7P3I1,Staphylococcus aureus
WP_000549222.1,UPI00000D7706,A0A641A9B4,Staphylococcus aureus
WP_000549234.1,UPI00003B19F7,A0A131K2A0,Staphylococcus aureus
WP_000549236.1,UPI00020F1DC4,A0AAE3D6E5,Staphylococcus aureus
WP_000556757.1,UPI00003B150D,A0AAJ4YW01,Staphylococcus aureus
WP_000556760.1,UPI00000D77CD,A0A0D1FS96,Staphylococcus aureus
WP_000581871.1,UPI00000CAD0B,A0A3A3AS45,Staphylococcus aureus
WP_000581879.1,UPI0002598DEC,A0AAX2MMQ3,Staphylococcus aureus
WP_000581892.1,UPI0002CAB03C,A0AAE8TL59,Staphylococcus aureus
WP_000581894.1,UPI00000CABEF,A0A390W179,Staphylococcus aureus
WP_000581910.1,UPI0000F53743,A0A641A6Y4,Staphylococcus aureus
WP_000582326.1,UPI00000CAB54,W8U0F6,Staphylococcus aureus
WP_000582332.1,UPI00000D9D2D,A0A0D3Q629,Staphylococcus aureus
WP_000592290.1,UPI00003B18AE,A0AAJ4YX07,Staphylococcus aureus
WP_000592298.1,UPI00000D9F61,A0A641A7L3,Staphylococcus aureus
WP_000592307.1,UPI00000CAB99,A0A3A5LL43,Staphylococcus aureus
WP_000592318.1,UPI0002598D68,A0AAX2JYZ4,Staphylococcus aureus
WP_000594516.1,UPI0000170015,A0AAE2ZUJ5,Staphylococcus aureus
WP_000594517.1,UPI00003B1936,Q6GE14,Staphylococcus aureus (strain MRSA252)
WP_000594519.1,UPI00000522DF,P0A074,Staphylococcus aureus
WP_000595237.1,UPI00003B16C4,A0A7U7EV44,Staphylococcus aureus (strain MRSA252)
WP_000595263.1,UPI00003B1AA3,A0A266CN85,Staphylococcus aureus
WP_000595265.1,UPI00000D77EE,A0A0H2JNT4,Staphylococcus aureus
WP_000595392.1,UPI00000CACAB,A0A390DBJ6,Staphylococcus aureus
WP_000595401.1,UPI00000D9F0A,A0A641A684,Staphylococcus aureus
WP_000595402.1,UPI00020F2558,A0AAE8TK97,Staphylococcus aureus
WP_000595617.1,UPI00003B1822,A0AAJ5CU77,Staphylococcus aureus
WP_000597207.1,UPI00000CAB9A,A0A2U0IPK5,Staphylococcus aureus
WP_000597213.1,UPI00000D9B9D,A0A641A9G9,Staphylococcus aureus
WP_000604723.1,UPI00020F279E,A0AAE2ZV56,Staphylococcus aureus
WP_000604727.1,UPI00000DA033,A0A0D1JVT0,Staphylococcus aureus
WP_000604730.1,UPI00000CA971,A0A390ZF93,Staphylococcus aureus
WP_000608674.1,UPI00000D7760,P0A0M0,Staphylococcus aureus
WP_000610231.1,UPI00000D9CB2,Q8NXX5,Staphylococcus aureus (strain MW2)
WP_000610232.1,UPI0002598DE4,A0AAX2JYJ2,Staphylococcus aureus
WP_000610259.1,UPI00000C7F5D,A0A9P2YY90,Staphylococcus aureus
WP_000610336.1,UPI00003B1459,A0AAJ4YWK2,Staphylococcus aureus
WP_000611512.1,UPI0000054452,W8TV02,Staphylococcus aureus
WP_000616191.1,UPI00003B196A,A0AAJ5CS58,Staphylococcus aureus
WP_000625878.1,UPI00000549B4,Q9X662,Staphylococcus aureus
WP_000625887.1,UPI00000D9CE0,A0A641A5I4,Staphylococcus aureus
WP_000625890.1,UPI00003B149C,A0A0D1GAM5,Staphylococcus aureus
WP_000625899.1,UPI00020F2353,A0AAE8PDN0,Staphylococcus aureus
WP_000631574.1,UPI0001B3AC35,A0A2U0IPG9,Staphylococcus aureus
WP_000643618.1,UPI00020F17E9,A0AAE2ZTC3,Staphylococcus aureus
WP_000643619.1,UPI00000C7F4D,A0A390B0Z6,Staphylococcus aureus
WP_000643623.1,UPI00000D9BE9,A0A641A8E7,Staphylococcus aureus
WP_000645753.1,UPI000311F0F3,A0AAJ5CTN7,Staphylococcus aureus
WP_000645763.1,UPI00020F1A19,A0AAE8TKC7,Staphylococcus aureus
WP_000645781.1,UPI00000D9B83,A0A641A7Q5,Staphylococcus aureus
WP_000645787.1,UPI00000C7F47,A0A391DK74,Staphylococcus aureus
WP_000648118.1,UPI000005431B,W8U9Q7,Staphylococcus aureus
WP_000649898.1,UPI00003B17CE,A0A166N5L1,Staphylococcus aureus
WP_000649907.1,UPI00000D9ED6,X5E0B5,Staphylococcus aureus
WP_000649908.1,UPI00006E455C,A0A0C2LK74,Staphylococcus aureus
WP_000649910.1,UPI0002598DFC,A0AAX2K353,Staphylococcus aureus
WP_000668336.1,UPI00000CAA03,A0A391M7N5,Staphylococcus aureus
WP_000668339.1,UPI00000D9D73,X5DRS2,Staphylococcus aureus
WP_000668342.1,UPI00020F2575,A0AAE8TK88,Staphylococcus aureus
WP_000668623.1,UPI00000543D0,A0A7I0YLT7,Staphylococcus aureus
WP_000668627.1,UPI00000CACAF,A0A390BCG4,Staphylococcus aureus
WP_000668628.1,UPI0001DA21C0,A0A2S6D767,Staphylococcus aureus
WP_000668994.1,UPI00003B13FC,A0AAJ5CTI3,Staphylococcus aureus
WP_000669003.1,UPI00020F2C69,A0AAE2ZW11,Staphylococcus aureus
WP_000669009.1,UPI00000D9C71,A0A641A9L3,Staphylococcus aureus
WP_000669014.1,UPI00000CADF5,A0A390ZN89,Staphylococcus aureus
WP_000669017.1,UPI00000D9EB4,A0A641A4M0,Staphylococcus aureus
WP_000669024.1,UPI00000CAC8A,A0A391AB27,Staphylococcus aureus
WP_000669029.1,UPI00020F1DEE,A0AAE8TKH1,Staphylococcus aureus
WP_000669038.1,UPI00003B17A5,A0AAJ5CSE5,Staphylococcus aureus
WP_000669514.1,UPI00003B1406,A0A166JSW2,Staphylococcus aureus
WP_000669519.1,UPI00000C7F58,A0A0D1H8K9,Staphylococcus aureus
WP_000669523.1,UPI00020F2A0C,A0AAE8TIW2,Staphylococcus aureus
WP_000669524.1,UPI00000D9C7F,A0A2L2E3D0,Staphylococcus aureus
WP_000669537.1,UPI00000543E8,A0A0D6WG27,Staphylococcus aureus
WP_000669541.1,UPI00003B15BC,A0A166EPD7,Staphylococcus aureus
WP_000669656.1,UPI00000CAD10,A0A6K1K184,Staphylococcus aureus
WP_000669659.1,UPI00020F2C32,A0AAE2ZVK6,Staphylococcus aureus
WP_000669664.1,UPI00003B1370,A0AAJ4YWH1,Staphylococcus aureus
WP_000669724.1,UPI00020F306B,A0AAE2ZZL2,Staphylococcus aureus
WP_000669729.1,UPI00003B1802,A0AAJ4YZ65,Staphylococcus aureus
WP_000673034.1,UPI00000CAA6A,A0A3A2ISC3,Staphylococcus aureus
WP_000673035.1,UPI00000D9C78,A0A641A8Q8,Staphylococcus aureus
WP_000673051.1,UPI00000CAB82,A0A0D6W7J6,Staphylococcus aureus
WP_000673059.1,UPI00000D9C79,A0A641AAF9,Staphylococcus aureus
WP_000676532.1,UPI00003B1AB8,A0A641A9T1,Staphylococcus aureus
WP_000676539.1,UPI00000CAB10,A0A391DGG2,Staphylococcus aureus
WP_000676561.1,UPI00003B157C,Q6GI34,Staphylococcus aureus (strain MRSA252)
WP_000676573.1,UPI0002DDA976,A0AAE2ZZ37,Staphylococcus aureus
WP_000681139.1,UPI00003B161C,A0AAJ5CSZ9,Staphylococcus aureus
WP_000681155.1,UPI0002598E22,A0AAN1ZDM6,Staphylococcus aureus
WP_000681966.1,UPI00003B1800,A0A090N1I4,Staphylococcus aureus
WP_000681967.1,UPI00020F3069,A0AAE3D6K9,Staphylococcus aureus
WP_000681968.1,UPI00000D76B9,W8TV10,Staphylococcus aureus
WP_000682088.1,UPI0001B3AF0B,A0A0B6XME1,Staphylococcus aureus
WP_000682089.1,UPI0000054B18,W8U531,Staphylococcus aureus
WP_000683687.1,UPI00006E7222,A0A9P2YW15,Staphylococcus aureus
WP_000683715.1,UPI00024E527D,A0AAE3D5D3,Staphylococcus aureus
WP_000683719.1,UPI00003B13BF,A0A0E1XBG6,Staphylococcus aureus subsp. aureus MN8
WP_000686164.1,UPI00003B199B,A0AAJ4YWR0,Staphylococcus aureus
WP_000686167.1,UPI00000DA00E,A0A641A9P8,Staphylococcus aureus
WP_000686168.1,UPI00000548CF,A0A0D6GUT9,Staphylococcus aureus
WP_000686192.1,UPI00020F1C05,A0AAE8TK43,Staphylococcus aureus
WP_000688536.1,UPI00003B1841,A0AAJ5CTW5,Staphylococcus aureus
WP_000691527.1,UPI00000C6EC8,Q1XG25,Staphylococcus aureus
WP_000691541.1,UPI000005432D,A0A0D6HEZ2,Staphylococcus aureus
WP_000694543.1,UPI00020F1FBE,A0AAE2ZTI9,Staphylococcus aureus
WP_000702262.1,UPI0000054457,A0A4T9YI84,Staphylococcus aureus
WP_000702263.1,UPI00000D7752,A0A0H2DUF0,Staphylococcus aureus
WP_000702714.1,UPI00003B13FE,A0A166JT38,Staphylococcus aureus
WP_000702717.1,UPI00020F2C67,A0AAE2ZX53,Staphylococcus aureus
WP_000702720.1,UPI00020F2C65,A0AAE2ZW53,Staphylococcus aureus
WP_000703668.1,UPI0001DDA24C,A0A7U7JQY2,Staphylococcus argenteus
WP_000704946.1,UPI00000D9C66,A0A641AAE0,Staphylococcus aureus
WP_000705125.1,UPI00020F2C6F,A0AAE8TJG1,Staphylococcus aureus
WP_000705630.1,UPI00000D9C74,A0A641A8M2,Staphylococcus aureus
WP_000705657.1,UPI00000C7F56,A0A389VE54,Staphylococcus aureus
WP_000710549.1,UPI00003B1307,A0A114AKY3,Staphylococcus aureus
WP_000710555.1,UPI00000CAA7A,A0A9N8NS69,Staphylococcus aureus
WP_000710558.1,UPI00020F3297,A0AAE8TJU8,Staphylococcus aureus
WP_000713115.1,UPI0001C009C0,D2J6T8,Staphylococcus aureus
WP_000713597.1,UPI00000D9BBC,A0A6A9GVV2,Staphylococcus aureus
WP_000713843.1,UPI00020F27CA,A0AAE8PC26,Staphylococcus aureus
WP_000713847.1,UPI00000D4754,O85383,Staphylococcus aureus
WP_000714021.1,UPI00020F1A0D,A0AAE2ZV66,Staphylococcus aureus
WP_000714027.1,UPI00003B19D3,A0AAJ4YZG0,Staphylococcus aureus
WP_000716819.1,UPI0002598CE8,A0AAX2ML76,Staphylococcus aureus
WP_000717381.1,UPI000005225C,A0A0D6WBZ7,Staphylococcus aureus
WP_000717388.1,UPI00000D9F73,A0A518QF20,Staphylococcus aureus
WP_000717389.1,UPI0001C0BB67,A0A2S6D3A1,Staphylococcus aureus
WP_000717394.1,UPI00003B18CC,Q6GED5,Staphylococcus aureus (strain MRSA252)
WP_000719329.1,UPI00000D7704,A0A2Y1M5T3,Staphylococcus aureus
WP_000719346.1,UPI00003B1891,A0A113XPM5,Staphylococcus aureus
WP_000720804.1,UPI00000D9BE7,A0A0D6GGQ7,Staphylococcus aureus
WP_000720814.1,UPI00020F17EB,A0AAE8TJ68,Staphylococcus aureus
WP_000720816.1,UPI00000CAA12,A0A389PUB8,Staphylococcus aureus
WP_000720821.1,UPI00000B3D5F,Q9EY53,Staphylococcus aureus
WP_000721549.1,UPI00020F2E5E,A0AAE8TKE8,Staphylococcus aureus
WP_000721550.1,UPI00000D9FBF,A0A641A6T6,Staphylococcus aureus
WP_000721551.1,UPI00000CA966,A0A391DDB2,Staphylococcus aureus
WP_000721556.1,UPI0001DD91BD,A0A2S6D1X8,Staphylococcus aureus
WP_000721558.1,UPI00003B194E,A0AAJ4YV38,Staphylococcus aureus
WP_000721567.1,UPI00001D8A05,Q7X0E8,Staphylococcus aureus
WP_000724887.1,UPI00000D77E2,W8U0W4,Staphylococcus aureus
WP_000725225.1,UPI00000D7806,W8U7V9,Staphylococcus aureus
WP_000725226.1,UPI00003B199F,A0A166LCU2,Staphylococcus aureus
WP_000725582.1,UPI00020F29AE,A0AAE8TKW4,Staphylococcus aureus
WP_000725608.1,UPI00000CAA58,A0A389UCX7,Staphylococcus aureus
WP_000725609.1,UPI00000D9BBD,A0A641A8P6,Staphylococcus aureus
WP_000725802.1,UPI00000522A6,W8U485,Staphylococcus aureus
WP_000726502.1,UPI00000C6ED2,B0I1V8,Staphylococcus aureus
WP_000727645.1,UPI00000C7F88,A0A391A4D9,Staphylococcus aureus
WP_000727649.1,UPI00001B580C,A0A068A6G0,Staphylococcus aureus
WP_000727756.1,UPI00000D9FAC,A0A1K8I4B4,Staphylococcus aureus
WP_000727760.1,UPI00020F2A29,A0AAE2ZUL3,Staphylococcus aureus
WP_000727763.1,UPI00003B1B31,A0A641A6Z5,Staphylococcus aureus
WP_000727771.1,UPI00003B192B,A0A122DF78,Staphylococcus aureus
WP_000727772.1,UPI00000CAA30,A0A391LQP8,Staphylococcus aureus
WP_000728052.1,UPI00003B1515,A0A166DEL7,Staphylococcus aureus
WP_000728058.1,UPI00020F2E50,A0AAE8TIB6,Staphylococcus aureus
WP_000728062.1,UPI00000D9D1D,A0A641A6V2,Staphylococcus aureus
WP_000728068.1,UPI00000CAD7F,A0A3A2ILB4,Staphylococcus aureus
WP_000728715.1,UPI00003B130E,A0A7U7ET86,Staphylococcus aureus (strain MRSA252)
WP_000728765.1,UPI00000CABB1,P0A015,Staphylococcus aureus (strain Mu50 / ATCC 700699)
WP_000728940.1,UPI00003B1394,A0A0Z0ILF4,Staphylococcus aureus
WP_000728950.1,UPI00020F29BB,A0AAE2ZWR5,Staphylococcus aureus
WP_000728958.1,UPI00000CA9C2,A0A3A5LV46,Staphylococcus aureus
WP_000730708.1,UPI00003B1856,A0AAJ4YXX9,Staphylococcus aureus
WP_000731421.1,UPI00019CD6FA,A0A166JH61,Staphylococcus aureus
WP_000731641.1,UPI00000D9CE3,A0A641A7K4,Staphylococcus aureus
WP_000731642.1,UPI00003B14A8,A0A169E8V2,Staphylococcus aureus
WP_000731644.1,UPI000005226B,W8USR6,Staphylococcus aureus
WP_000731972.1,UPI00000DA035,A0A2S6DP54,Staphylococcus aureus
WP_000731976.1,UPI0000351A9B,A0A2U0ITP4,Staphylococcus aureus
WP_000732076.1,UPI00000CAB9C,A0A391FC21,Staphylococcus aureus
WP_000732082.1,UPI00000D9FCA,X5EK72,Staphylococcus aureus
WP_000732088.1,UPI0002598DDF,A0AAX2MNC3,Staphylococcus aureus
WP_000732090.1,UPI00003B1958,A0A090LUS6,Staphylococcus aureus
WP_000732324.1,UPI00000CAC7F,A0A390BBS7,Staphylococcus aureus
WP_000732328.1,UPI00020F2E59,A0AAE8PAL3,Staphylococcus aureus
WP_000732334.1,UPI00005FE370,A0A6B5KXH1,Staphylococcus aureus
WP_000732338.1,UPI00003B1522,A0A162FG49,Staphylococcus aureus
WP_000733283.1,UPI000000045C,P00807,Staphylococcus aureus
WP_000733285.1,UPI00000C6ECD,Q1XG18,Staphylococcus aureus
WP_000733289.1,UPI00000DA067,Q2FC27,Staphylococcus aureus
WP_000733427.1,UPI00003B14C6,A0A166M720,Staphylococcus aureus
WP_000733431.1,UPI0000054916,X5EG17,Staphylococcus aureus
WP_000733432.1,UPI00000CAC14,A0A390U9J4,Staphylococcus aureus
WP_000733435.1,UPI00020F2775,A0AAE2ZRT7,Staphylococcus aureus
WP_000733621.1,UPI0001AE99E6,A0A2Y1TBB7,Staphylococcus aureus
WP_000733771.1,UPI00000D9F07,A0A6B3J2A6,Staphylococcus aureus
WP_000734795.1,UPI00000DA039,A0AAW4Y5F4,Staphylococcus aureus
WP_000734801.1,UPI00000CAA2C,A0A9P2YYE8,Staphylococcus aureus
WP_000735034.1,UPI00003B18C1,A0AAJ5CT13,Staphylococcus aureus
WP_000735038.1,UPI00000547D7,Q7BGA5,Staphylococcus aureus
WP_000735554.1,UPI00003B1483,A0A0D1GQ07,Staphylococcus aureus
WP_000735558.1,UPI00000D76AE,W8TRN2,Staphylococcus aureus
WP_000736707.1,UPI00003B17BD,Q7X0E4,Staphylococcus aureus
WP_000736712.1,UPI000012A276,P0A0L8,Staphylococcus aureus
WP_000736784.1,UPI00000CACA1,A0A3A3ATI1,Staphylococcus aureus
WP_000736787.1,UPI00020F29C1,A0AAE8PBA3,Staphylococcus aureus
WP_000736790.1,UPI00003B138E,A0A131JP41,Staphylococcus aureus
WP_000736792.1,UPI00000D9C10,A0A641A912,Staphylococcus aureus
WP_000737194.1,UPI00000D9C45,A0A641A8S4,Staphylococcus aureus
WP_000737196.1,UPI000005457A,A0A0B4N958,Staphylococcus aureus
WP_000737200.1,UPI00003B13BD,Q6GJX5,Staphylococcus aureus (strain MRSA252)
WP_000737653.1,UPI0001B3B4CB,A0A090LVV4,Staphylococcus aureus
WP_000737654.1,UPI000005228B,W8TNQ9,Staphylococcus aureus
WP_000737686.1,UPI00000542E2,W8UXH5,Staphylococcus aureus
WP_000737699.1,UPI00019F4E60,A0A2S6DCI1,Staphylococcus aureus
WP_000737700.1,UPI00003B18D1,A0AAJ4YX04,Staphylococcus aureus
WP_000737705.1,UPI000005434E,W8TR90,Staphylococcus aureus
WP_000737711.1,UPI00003B190B,A0AAJ5CSZ5,Staphylococcus aureus
WP_000739205.1,UPI00003B15B9,A0A166Q7R0,Staphylococcus aureus
WP_000739208.1,UPI00020F29E1,A0A2W3TG75,Staphylococcus aureus
WP_000739210.1,UPI00000CAA4A,A0A3M8VBL4,Staphylococcus aureus
WP_000739212.1,UPI00000D9D85,A0A0U1MK78,Staphylococcus aureus
WP_000739529.1,UPI00020F1FB6,A0AAE8PBB6,Staphylococcus aureus
WP_000739531.1,UPI00000CA9DE,A0A380DP26,Staphylococcus aureus
WP_000739541.1,UPI00000D9D8A,A0A659IBA1,Staphylococcus aureus
WP_000739555.1,UPI00020F1FB7,A0AAE8PDG0,Staphylococcus aureus
