Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_146|Q1JKN7|S-ribosylhomocysteine|WP_021299075.1|tpos:1-160,0.117,0.5,0.0,0.617,Allergen
antigen_125|P0DG83|Nucleoid-associated|WP_010922643.1|tpos:1-99,0.443,0.0,0.0,0.443,Allergen
antigen_126|P0DB00|Beta-ketoacyl-[acyl-carrier-protein]|WP_011528907.1|tpos:1-324,0.1,0.5,-0.5,0.1,Non-Allergen
antigen_127|A2RG72|ATP-dependent|WP_002985850.1|tpos:1-196,0.157,0.0,-0.5,-0.343,Non-Allergen
antigen_128|B5XJ57|Adenylate|WP_011054106.1|tpos:1-212,0.14,0.0,-0.5,-0.36,Non-Allergen
antigen_40|Q48VU3|Small|WP_000529929.1|tpos:1-217,0.115,0.0,-0.5,-0.385,Non-Allergen
antigen_41|A2REG0|Ribonuclease|WP_011017771.1|tpos:1-263,0.227,0.5,-0.5,0.227,Non-Allergen
antigen_2|Q1J6Q6|Spermidine/putrescine|WP_002989863.1|tpos:1-384,0.094,0.0,-0.5,-0.406,Non-Allergen
antigen_6|P0DA16|Glycerol|WP_011528882.1|tpos:1-508,0.413,0.0,-0.5,-0.087,Non-Allergen
antigen_60|Q48QT6|DNA|WP_011529121.1|tpos:1-851,0.039,0.0,-0.5,-0.461,Non-Allergen
antigen_35|Q1J6M7|GMP|WP_002989808.1|tpos:1-327,0.449,0.5,-0.5,0.449,Allergen
antigen_27|Q48UD2|ATP|WP_002985233.1|tpos:1-138,0.126,0.0,-0.5,-0.374,Non-Allergen
antigen_28|P65783|NAD|WP_002993124.1|tpos:1-278,0.165,0.0,-0.5,-0.335,Non-Allergen
antigen_29|Q1JJ89|DNA|WP_002986719.1|tpos:1-251,0.1,0.0,-0.5,-0.4,Non-Allergen
antigen_196|Q1JKD4|Heat-inducible|WP_002983310.1|tpos:1-344,0.058,0.0,-0.5,-0.442,Non-Allergen
antigen_170|Q48UD0|UDP-N-acetylglucosamine|WP_002990414.1|tpos:1-423,0.07,0.0,-0.5,-0.43,Non-Allergen
antigen_171|P0DF23|Ribonuclease|WP_009881223.1|tpos:1-309,0.114,0.0,-0.5,-0.386,Non-Allergen
antigen_72|P0DC10|Galactose-6-phosphate|WP_011529003.1|tpos:1-171,0.563,0.0,-0.5,0.063,Non-Allergen
antigen_73|Q48V70|Protease|WP_002985953.1|tpos:1-298,0.031,0.5,-0.5,0.031,Non-Allergen
antigen_56|Q99YG1|Translation|WP_011528896.1|tpos:1-953,0.137,0.5,-0.5,0.137,Non-Allergen
antigen_189|B5XK72|Endoribonuclease|WP_002985748.1|tpos:1-165,0.27,0.0,-0.5,-0.23,Non-Allergen
antigen_190|P64065|GTPase|WP_011528270.1|tpos:1-436,0.095,0.5,-0.5,0.095,Non-Allergen
antigen_42|Q9A1F2|Probable|WP_002991091.1|tpos:1-210,0.114,0.5,-0.5,0.114,Non-Allergen
antigen_43|A2RD32|Probable|WP_002983569.1|tpos:1-214,0.347,0.5,0.5,1.347,Allergen
antigen_182|Q1J708|tRNA|WP_011528534.1|tpos:1-299,0.08,0.0,-0.5,-0.42,Non-Allergen
antigen_183|P0DG17|Uncharacterized|WP_011528848.1|tpos:1-451,0.256,0.0,-0.5,-0.244,Non-Allergen
antigen_45|Q8NZZ1|UPF0398|WP_011285056.1|tpos:1-171,0.158,0.5,0.0,0.658,Allergen
antigen_51|P67255|UPF0122|WP_002989745.1|tpos:1-110,0.228,0.0,-0.5,-0.272,Non-Allergen
antigen_52|Q1JJ57|Large|WP_002986651.1|tpos:1-114,0.145,0.0,-0.5,-0.355,Non-Allergen
antigen_53|Q99ZU3|UvrABC|WP_002984829.1|tpos:1-598,0.097,0.5,-0.5,0.097,Non-Allergen
antigen_7|B5XKQ2|ATP|WP_002985233.1|tpos:1-138,0.126,0.0,-0.5,-0.374,Non-Allergen
antigen_163|P0DC12|Tagatose-6-phosphate|WP_011529002.1|tpos:1-309,0.372,0.0,0.0,0.372,Allergen
antigen_164|P60420|UPF0298|WP_002990928.1|tpos:1-91,0.133,0.0,0.0,0.133,Non-Allergen
antigen_165|Q1JKA0|Alanine|WP_011528929.1|tpos:1-366,0.06,0.0,-0.5,-0.44,Non-Allergen
antigen_115|Q1JE69|Holliday|WP_002986679.1|tpos:1-332,0.067,0.0,0.0,0.067,Non-Allergen
antigen_116|Q8P0Y8|Tyrosine|WP_002984598.1|tpos:1-356,0.075,0.0,-0.5,-0.425,Non-Allergen
antigen_49|Q1J777|tRNA|WP_002990222.1|tpos:1-239,0.092,0.0,-0.5,-0.408,Non-Allergen
antigen_50|Q48TU0|Elongation|WP_010922253.1|tpos:1-610,0.169,0.0,-0.5,-0.331,Non-Allergen
antigen_32|B5XLM6|Citrate|WP_011284806.1|tpos:1-102,0.238,0.0,0.0,0.238,Non-Allergen
antigen_33|P65522|Putative|WP_011528225.1|tpos:1-234,0.194,0.0,0.0,0.194,Non-Allergen
antigen_34|P66322|Large|WP_002991410.1|tpos:1-150,0.408,0.0,-0.5,-0.092,Non-Allergen
antigen_185|Q5XAY0|Arginine|WP_002983792.1|tpos:1-157,0.061,0.0,-0.5,-0.439,Non-Allergen
antigen_186|Q48VX9|DNA|WP_002986719.1|tpos:1-251,0.1,0.0,-0.5,-0.4,Non-Allergen
antigen_17|Q8P0X5|Formate--tetrahydrofolate|WP_011528670.1|tpos:1-556,0.278,0.5,0.0,0.778,Allergen
antigen_48|Q1JFK0|Probable|WP_002983569.1|tpos:1-214,0.347,0.5,0.5,1.347,Allergen
antigen_44|Q1J776|Ferredoxin--NADP|WP_011528499.1|tpos:1-330,0.338,0.5,-0.5,0.338,Allergen
antigen_95|Q5XAZ0|Phosphopantetheine|WP_002983821.1|tpos:1-163,0.037,0.0,-0.5,-0.463,Non-Allergen
antigen_96|P0DE90|Small|WP_000529929.1|tpos:1-217,0.115,0.0,-0.5,-0.385,Non-Allergen
antigen_97|A2RF70|Large|WP_002985116.1|tpos:1-104,0.39,0.0,-0.5,-0.11,Non-Allergen
antigen_98|Q5X9J1|UPF0246|WP_011529093.1|tpos:1-243,0.161,0.0,-0.5,-0.339,Non-Allergen
antigen_77|P0DD80|Ribosome-binding|WP_012560889.1|tpos:1-115,0.125,0.0,-0.5,-0.375,Non-Allergen
antigen_26|P69948|Elongation|WP_002986045.1|tpos:1-692,0.114,0.0,-0.5,-0.386,Non-Allergen
antigen_68|Q5XC82|NAD|WP_002993124.1|tpos:1-278,0.165,0.0,-0.5,-0.335,Non-Allergen
antigen_69|P63548|Adenine|WP_002990109.1|tpos:1-172,0.188,0.0,-0.5,-0.312,Non-Allergen
antigen_22|Q8P1C8|Probable|WP_011184414.1|tpos:1-199,0.091,0.0,-0.5,-0.409,Non-Allergen
antigen_23|Q5XCA4|Spermidine/putrescine|WP_002989863.1|tpos:1-384,0.094,0.0,-0.5,-0.406,Non-Allergen
antigen_132|Q5XEC0|Large|WP_002986629.1|tpos:1-178,0.286,0.0,0.0,0.286,Non-Allergen
antigen_133|A2RG55|Protein|WP_011528310.1|tpos:1-139,0.319,0.0,0.0,0.319,Allergen
antigen_134|P0DG00|tRNA(Ile)-lysidine|WP_010921767.1|tpos:1-428,0.04,0.0,-0.5,-0.46,Non-Allergen
antigen_83|Q8P003|Methionyl-tRNA|WP_011018056.1|tpos:1-311,0.21,0.5,-0.5,0.21,Non-Allergen
antigen_84|P0DG67|Thymidylate|WP_011017679.1|tpos:1-279,0.109,0.0,-0.5,-0.391,Non-Allergen
antigen_118|P0DE54|Large|WP_014407204.1|tpos:1-207,0.247,0.0,-0.5,-0.253,Non-Allergen
antigen_119|Q8P1F2|Ferredoxin--NADP|WP_011528499.1|tpos:1-330,0.338,0.5,-0.5,0.338,Allergen
antigen_74|P0DE67|Small|WP_002986049.1|tpos:1-137,0.166,0.0,-0.5,-0.334,Non-Allergen
antigen_159|P67372|DegV|WP_002989125.1|tpos:1-279,0.111,0.0,-0.5,-0.389,Non-Allergen
antigen_160|Q1JHA5|Uracil-DNA|WP_011528526.1|tpos:1-217,0.277,0.0,-0.5,-0.223,Non-Allergen
antigen_135|Q8P2A7|Replication|WP_002985838.1|tpos:1-107,0.386,0.0,0.0,0.386,Allergen
antigen_136|Q1JKZ0|Cell|WP_021299320.1|tpos:1-218,0.1,0.5,-0.5,0.1,Non-Allergen
antigen_137|Q1JJJ7|Formimidoylglutamase|WP_002982269.1|tpos:1-328,0.262,0.0,-0.5,-0.238,Non-Allergen
antigen_194|Q99ZV8|Elongation|WP_010922253.1|tpos:1-610,0.169,0.0,-0.5,-0.331,Non-Allergen
antigen_195|B5XK49|Bifunctional|WP_021299380.1|tpos:1-460,0.369,0.5,-0.5,0.369,Allergen
antigen_99|Q1JDD0|Segregation|WP_002985894.1|tpos:1-183,0.052,0.0,-0.5,-0.448,Non-Allergen
antigen_100|Q48V44|Segregation|WP_002985894.1|tpos:1-183,0.052,0.0,-0.5,-0.448,Non-Allergen
antigen_101|Q1JB44|Shikimate|WP_002984106.1|tpos:1-163,0.116,0.0,-0.5,-0.384,Non-Allergen
